Symbol,ID
Crygf,12969
Crygs,12970
Crym,12971
Cryz,12972
Cs,12974
Csf1,12977
Csf1r,12978
Csf2,12981
Csf2ra,12982
Csf2rb,12983
Csf2rb2,12984
Csf3,12985
Csf3r,12986
Csk,12988
Csn1s1,12990
Csn2,12991
Csn1s2b,12992
Csn1s2a,12993
Csn3,12994
Csnk2a1,12995
Csnk2a2,13000
Csnk2b,13001
Dnajc5,13002
Vcan,13003
Ncan,13004
Smc3,13006
Csrp1,13007
Csrp2,13008
Csrp3,13009
Cst3,13010
Cst7,13011
Cst8,13012
Cst9,13013
Cstb,13014
Ctbp1,13016
Ctbp2,13017
Ctcf,13018
Ctf1,13019
Ctla2a,13024
Ctla2b,13025
Pcyt1a,13026
Ctsb,13030
Ctsc,13032
Ctsd,13033
Ctse,13034
Ctsg,13035
Ctsh,13036
Ctsk,13038
Ctsl,13039
Ctss,13040
Ctsw,13041
Cttn,13043
Celf1,13046
Cux1,13047
Cux2,13048
Cx3cr1,13051
Cxadr,13052
Cyb561,13056
Cyba,13057
Cybb,13058
Cycs,13063
Cyct,13067
Cyp11a1,13070
Cyp11b2,13072
Cyp17a1,13074
Cyp19a1,13075
Cyp1a1,13076
Cyp1a2,13077
Cyp1b1,13078
Cyp21a1,13079
Cyp24a1,13081
Cyp26a1,13082
Cyp2a12,13085
Cyp2a4,13086
Cyp2a5,13087
Cyp2b10,13088
Cyp2b13,13089
Cyp2b19,13090
Cyp2b9,13094
Cyp2c29,13095
Cyp2c37,13096
Cyp2c38,13097
Cyp2c39,13098
Cyp2c40,13099
Cyp2d10,13101
Cyp2d9,13105
Cyp2e1,13106
Cyp2f2,13107
Cyp2g1,13108
Cyp2j5,13109
Cyp2j6,13110
Cyp3a11,13112
Cyp3a13,13113
Cyp3a16,13114
Cyp27b1,13115
Cyp46a1,13116
Cyp4a10,13117
Cyp4a12b,13118
Cyp4a14,13119
Cyp4b1,13120
Cyp51,13121
Cyp7a1,13122
Cyp7b1,13123
