ProbeID,Symbol,ID
ILMN_3073406,Slc16a6,104681
ILMN_3152241,Slc16a6,104681
ILMN_1258950,Slc16a6,104681
ILMN_3160107,Pik3r6,104709
ILMN_3160361,Pik3r6,104709
ILMN_2844316,Ddx1,104721
ILMN_1257962,Ddx1,104721
ILMN_2634338,Sptssa,104725
ILMN_1217337,Tedc1,104732
ILMN_1234223,Pld4,104759
ILMN_2943319,Jkamp,104771
ILMN_1223051,Jkamp,104771
ILMN_2734290,Jkamp,104771
ILMN_1258158,Aldh6a1,104776
ILMN_1249137,Vipas39,104799
ILMN_2714385,Fancm,104806
ILMN_2615380,Aspg,104816
ILMN_2725517,Cbll1,104836
ILMN_3101400,Tecpr2,104859
ILMN_3028247,Tecpr2,104859
ILMN_1257003,Spata7,104871
ILMN_2691469,Spata7,104871
ILMN_1222101,Tdp1,104884
ILMN_1217009,Rab15,104886
ILMN_2681001,Slc25a47,104910
ILMN_3143557,Adi1,104923
ILMN_3065603,Adi1,104923
ILMN_2757634,Fam110c,104943
ILMN_2913930,Dnal1,105000
ILMN_2800051,Lratd1,105005
ILMN_2685477,Rdh14,105014
ILMN_2685478,Rdh14,105014
ILMN_2853658,Pelo,105083
ILMN_2810047,Iars,105148
ILMN_1224044,Iars,105148
ILMN_2810045,Iars,105148
ILMN_1227208,Iars,105148
ILMN_2666279,Arrdc3,105171
ILMN_2595091,Nhlrc1,105193
ILMN_1223300,Tasor2,105203
ILMN_2680406,Rnf44,105239
ILMN_1250947,Txndc5,105245
ILMN_2913089,Brd9,105246
ILMN_1216614,Brd9,105246
ILMN_1224929,C730034F03Rik,105246016
ILMN_1238557,Cdk20,105278
ILMN_1238571,Cdk20,105278
ILMN_2942930,Cdk20,105278
ILMN_2627072,Cdk20,105278
ILMN_1225494,Epdr1,105298
ILMN_2623536,Golm1,105348
ILMN_3148550,Golm1,105348
ILMN_1260323,Akr1c18,105349
ILMN_2717234,AW209491,105351
ILMN_3162564,Dusp22,105352
ILMN_2767996,Dusp22,105352
ILMN_2924778,Slc17a3,105355
ILMN_2751771,Slc17a3,105355
ILMN_1249661,Slc17a3,105355
ILMN_1232566,Utp15,105372
ILMN_2688797,Slf1,105377
ILMN_2921215,Akr1c14,105387
ILMN_2655871,Akr1c14,105387
ILMN_2762019,E330034G19Rik,105418
ILMN_2825118,E330034G19Rik,105418
ILMN_2641270,Fam149b,105428
ILMN_2641269,Fam149b,105428
ILMN_2751572,Slain1,105439
ILMN_1251465,Kctd9,105440
ILMN_3120306,Dock9,105445
ILMN_2846317,Gmpr2,105446
ILMN_2761918,Mmrn2,105450
ILMN_2713464,Abhd4,105501
ILMN_2734889,Exoc5,105504
ILMN_2588610,Chmp7,105513
ILMN_2750098,Chmp7,105513
ILMN_2843548,Chmp7,105513
ILMN_1254987,Mbnl2,105559
ILMN_3094013,Mbnl2,105559
ILMN_2910438,Zfp957,105590
ILMN_1229377,Zfp957,105590
ILMN_1218639,Cphx1,105594
ILMN_2704641,Dph3,105638
ILMN_3134412,Dph3,105638
ILMN_2717172,Dph3,105638
ILMN_1223321,Phyhip,105653
ILMN_2794825,Thtpa,105663
ILMN_2812087,Rcbtb2,105670
ILMN_2812084,Rcbtb2,105670
ILMN_3002181,Ppif,105675
ILMN_1240830,Mycbp2,105689
ILMN_1238676,Mycbp2,105689
ILMN_1228336,Ano6,105722
ILMN_2736140,Slc38a1,105727
ILMN_2743155,Fam83h,105732
ILMN_1221043,Tigd5,105734
ILMN_2742887,Scrib,105782
ILMN_2828731,Scrib,105782
ILMN_2722389,Scrib,105782
ILMN_2675697,Kdelr3,105785
ILMN_2678355,Amigo2,105827
ILMN_2595469,Ccdc65,105833
ILMN_1253268,Ccdc65,105833
ILMN_2987294,Sgsm3,105835
ILMN_1224894,Mtbp,105837
ILMN_2684261,Mtbp,105837
ILMN_2684260,Mtbp,105837
ILMN_1224129,Dennd3,105841
ILMN_2606660,Card10,105844
ILMN_2748716,Card10,105844
ILMN_2736566,Lmf2,105847
ILMN_1252628,Mal2,105853
ILMN_1253813,Nckap1l,105855
ILMN_2736847,Csdc2,105859
ILMN_2751325,Krt72,105866
ILMN_2918732,Ugt3a1,105887
ILMN_3017818,9030619P08Rik,105892
ILMN_2911855,Espl1,105988
ILMN_2732491,Tafa5,106014
ILMN_2442075,Topors,106021
ILMN_1254001,Sharpin,106025
ILMN_1248850,Gga1,106039
ILMN_2717744,Gga1,106039
ILMN_2894943,Gga1,106039
ILMN_1228245,Prickle1,106042
ILMN_2869312,Fbxo4,106052
ILMN_1237132,AW549877,106064
ILMN_2886162,Slc45a4,106068
ILMN_2854347,Mfsd5,106073
ILMN_2668387,Cggbp1,106143
ILMN_1230444,Txndc11,106200
ILMN_2588663,Txndc11,106200
ILMN_1216473,Txndc11,106200
ILMN_2430275,Zc3h7a,106205
ILMN_2920708,Zc3h7a,106205
ILMN_2658619,0610012G03Rik,106264
ILMN_2729771,Rrn3,106298
ILMN_1224333,Osbpl11,106326
ILMN_2604965,Nsun3,106338
ILMN_2741050,Rfc4,106344
ILMN_2613118,Rfc4,106344
ILMN_2857684,Ildr1,106347
ILMN_1238808,Ildr1,106347
ILMN_2734693,Ildr1,106347
ILMN_2454393,Ypel1,106369
ILMN_2908933,Eaf2,106389
ILMN_2742215,Eaf2,106389
ILMN_2605601,Eaf2,106389
ILMN_2924619,Srl,106393
ILMN_2746116,Slc51a,106407
ILMN_2719522,Stk38,106504
ILMN_1222256,Gpsm3,106512
ILMN_3104118,Pkdcc,106522
ILMN_3030824,Pkdcc,106522
ILMN_2606579,Tecr,106529
ILMN_2710784,Tecr,106529
ILMN_2994779,Tecr,106529
ILMN_2740494,Ppcs,106564
ILMN_2699621,Dlk2,106565
ILMN_2665008,Rab31,106572
ILMN_2748941,Fam234a,106581
ILMN_2733524,Nrm,106582
ILMN_2598420,Scaf8,106583
ILMN_3151492,Ankrd12,106585
ILMN_3072676,Ankrd12,106585
ILMN_1213117,Trip10,106628
ILMN_1260493,Ift140,106633
ILMN_3060168,Ift140,106633
ILMN_3137478,Ift140,106633
ILMN_2799596,Vmac,106639
ILMN_2906226,Cyp4f15,106648
ILMN_2857595,AI413582,106672
ILMN_2646123,Rpusd1,106707
ILMN_3161372,Mpig6b,106722
ILMN_1234738,Catsperd,106757
ILMN_1220387,Ticam1,106759
ILMN_1256875,Ticam1,106759
ILMN_2834687,Stap2,106766
ILMN_2758562,Stap2,106766
ILMN_2617925,Dhx57,106794
ILMN_1229304,Dhx57,106794
ILMN_2624827,Tcf19,106795
ILMN_2942000,Oard1,106821
ILMN_1214441,Unc119b,106840
ILMN_2590771,Unc119b,106840
ILMN_1245813,Unc119b,106840
ILMN_2876010,Unc119b,106840
ILMN_2876015,Unc119b,106840
ILMN_2677728,Abhd3,106861
ILMN_2511953,Tnfaip8,106869
ILMN_1246017,Afap1l1,106877
ILMN_2706014,Smim3,106878
ILMN_1246992,Hmgxb3,106894
ILMN_2977240,Slc39a3,106947
ILMN_2695367,Slc39a3,106947
ILMN_1243107,Arap3,106952
ILMN_2681516,Slc39a6,106957
ILMN_2662192,Gramd3,107022
ILMN_2603958,Gramd3,107022
ILMN_1230263,Me2,107029
ILMN_2955755,Fbxo38,107035
ILMN_1217700,Fbxo38,107035
ILMN_2899591,Lars,107045
ILMN_3074516,Psmg2,107047
ILMN_3153450,Psmg2,107047
ILMN_2593391,Lrrtm2,107065
ILMN_1227712,Wdr74,107071
ILMN_2728118,Rrp12,107094
ILMN_2996640,Cyp2c50,107141
ILMN_1245217,Cyp2c50,107141
ILMN_2697749,Glyat,107146
ILMN_2780876,Gpr137,107173
ILMN_2746895,Ffar4,107221
ILMN_2683986,Macrod1,107227
ILMN_2847950,AI837181,107242
ILMN_2710176,Kazald1,107250
ILMN_3127375,Otub1,107260
ILMN_2439632,Yars,107271
ILMN_1221048,Psat1,107272
ILMN_2675152,Vps37c,107305
ILMN_1230587,Lpxn,107321
ILMN_2885982,Trpt1,107328
ILMN_2885981,Trpt1,107328
ILMN_2480638,Trpt1,107328
ILMN_2940559,Gbf1,107338
ILMN_1242456,Kank1,107351
ILMN_2603545,Tm9sf3,107358
ILMN_2707063,Tm9sf3,107358
ILMN_2982143,Pdzd8,107368
ILMN_1235861,Exoc6,107371
ILMN_2718843,Fam111a,107373
ILMN_1251109,Slc25a45,107375
ILMN_2743551,Brms1,107392
ILMN_2747651,Hat1,107435
ILMN_1256350,Unc5a,107448
ILMN_2511518,Unc5a,107448
