kidney_es01_cells_myc_on	kidney_es01_cells_myc_off_24hr	kidney_es01_cells_myc_off_48hr	kidney_es01_cells_myc_off_72hr	kidney_es02_cells_myc_on	kidney_es02_cells_myc_off_24hr	kidney_es02_cells_myc_off_48hr	kidney_es02_cells_myc_off_72hr
ILMN_2727437	7.18584313600717	8.94027288540614	8.87797195329407	8.66913668069144	7.21621936029917	9.03081939736343	9.00876467484601	8.90142970385734
ILMN_2628021	9.79952824300265	11.6553566366935	11.7373088274025	11.4499643165858	9.66913185186497	11.8334030525424	11.4864402999937	11.1505741143692
ILMN_2793281	8.98502980123464	10.6783792947912	10.6457246219549	10.5287537050472	8.90477188565207	10.9865039095711	10.7089105753258	10.5780514931983
ILMN_1234456	7.24724064610407	7.50665945857021	7.19563365296217	7.136834918434	7.32144989749079	7.21436623835423	7.0299380186421	7.11579576295488
ILMN_2611352	9.61368664461938	9.08033741526574	9.30885972290574	9.72359307386588	9.54158820980122	8.58129743323333	8.91729434789819	9.46984154749222
ILMN_2622630	8.68879711806917	8.47577770400427	8.55057764351989	8.8776281610793	8.69815118029401	8.51695091245864	8.27330473137353	8.84093406289117
ILMN_2495446	5.60377520563236	5.72764121160857	6.15896482768817	6.76462262973944	6.02838808570119	5.92817466348467	5.95540894425867	6.58298753143925
ILMN_1230077	6.33619096225284	6.33298637734066	6.74891604565565	6.35528647104991	6.63261228704807	6.81846218755477	6.33386417688633	6.32792668585164
ILMN_1246762	6.4570133657313	6.41033094875564	5.96886052174904	5.76806615791957	6.07874703405506	6.10014637158939	5.98883616179916	6.03709183612602
ILMN_2470615	7.63058138896489	7.18870133939229	7.00479462053765	7.3682618810503	7.27735354635597	6.82161969302887	6.80655174857005	7.35198061697007
ILMN_2596016	8.7473312530963	9.06830082678248	9.04693834750787	8.87536939425573	8.73763078525691	8.99937816165539	8.7673852028461	8.72094106476803
ILMN_1242334	7.50704931950126	8.42919272762027	7.98704695186987	7.1020053384403	6.98970699078816	8.23666941661759	7.48407739313878	6.99229712174362
ILMN_2915716	7.2859635815732	8.26918723833471	8.21488861790212	7.40326196961545	7.60952080657641	8.51086462899588	8.22961261551232	7.27735354635597
ILMN_1258239	7.40290728053903	7.90142076592838	7.47114904275381	7.05913797975793	7.53478483525005	7.6782588340159	7.49330888245292	7.07440388090482
ILMN_1240205	5.99828707933199	6.07889916013496	6.65831536019699	6.6410630449558	6.52335145619899	6.61397981032397	6.3932412890096	6.28834926383173
ILMN_1259701	7.09418248514652	8.04020484202578	8.04499470740709	7.65380122555647	6.93496845243129	7.96120034852326	7.88227529865302	7.63562208859644
ILMN_1237581	8.4274780059756	8.41617984382047	7.91945331001194	7.10900984722334	8.43058494945029	8.1161055069329	7.43220739019889	7.24372012823306
ILMN_2607196	7.50792522989695	7.17697382837318	7.0624405643974	7.17962761265463	7.26177549039131	7.16584663440918	7.24236325154814	7.30512979041518
ILMN_1235939	6.73521493217775	6.62850361131714	6.4157339105446	6.38565193295976	7.05618600635225	6.22332994088541	6.32327924469424	6.43934734951559
ILMN_2621882	10.9885285697763	11.8459926034526	11.7726341750697	11.5040125832211	10.9076470607436	11.9245199831172	11.6298477381627	11.6663236008113
ILMN_2850839	12.0474484990267	12.3051709833769	11.9570450274935	11.8696293607834	11.7924970391709	12.2965400378986	11.6108355695399	11.8106469906954
ILMN_2691869	11.3127555654725	11.6080701988043	11.2596935451624	11.1710062261049	11.1795772941898	11.6211989149418	11.0170075844683	11.1482437143125
ILMN_1216463	6.42477771913212	6.17911832620519	7.24325444837813	7.81723799178996	6.45887966171892	6.32844748860906	6.96818811915168	7.11407415603865
ILMN_2659694	5.77223581332556	5.73691038748252	5.61051334321778	5.51162691642729	5.75466894402718	5.57544481623388	5.84227606942389	5.65847396509142
ILMN_2523903	10.5903375740237	10.6870226217746	10.5296630943308	10.8212025695595	10.3618012512281	10.7109795510212	10.7377691374586	11.1203393031449
ILMN_2651743	5.78537448695365	5.77337565742523	5.71246138125653	5.78516533918776	5.67629375182415	5.78411672359723	5.7227590079949	5.79285372594671
ILMN_1217369	7.32748348287914	6.67724167634818	6.37162923148269	6.17032627033161	7.51209174606332	6.24125849893956	6.09431269514734	6.26714747376715
ILMN_2789047	8.39078460404699	7.89909169947271	7.95409355833607	8.25657138105677	8.19764366273901	7.62975813253808	7.96638064365292	8.33685692590738
ILMN_2550016	9.63205302683113	9.78926702740888	9.78240999838206	9.6095895060061	9.77230152031827	9.84349043518184	9.8373190214583	9.73439924654449
ILMN_2958076	12.4418667083534	12.6558160140519	12.2762730301115	11.6511553138736	12.352075367284	12.2031257768724	11.7911092037502	11.2996397604198
ILMN_1239895	9.39227188163058	9.27983819669603	9.83120341274017	10.0956748697823	9.37609141118246	9.0344558175343	9.63879364714394	9.95704810277284
ILMN_1238713	9.81749549324668	9.74395454290751	10.2857488344126	10.4335885706374	9.73030660408005	9.47482391212428	10.1218217037983	10.2594310970821
ILMN_1248658	9.01546240964228	9.79504097998488	9.89125107959611	9.98374993593471	9.43931681282042	9.87180892646711	9.90019149961082	9.62399652161466
ILMN_2634338	10.0926670852697	10.0127816835101	10.0057609181286	9.38381402923124	10.4320099259656	10.0042235568009	9.54907296177872	8.95613010848137
ILMN_1218725	10.8965678823276	9.74933038962798	9.65607011244167	10.0961213369369	10.7785733813868	10.476197495834	10.3637128951371	11.0130030569926
ILMN_2938179	10.5630820821517	9.39955193576488	9.31609379944817	9.74455260646359	9.99498813608185	9.22173207825146	9.15952367348587	9.51457197175746
ILMN_1225158	9.89684995171302	11.7385284653255	11.7742985130415	11.183043854495	9.95593149978347	11.5460502097936	11.5410716826527	10.9671981541134
ILMN_2452855	10.3348990903482	9.00050196771964	9.05442480080145	8.59591395881359	10.510821765799	8.6539664340253	8.57258384944571	8.10150254955952
ILMN_1213881	8.19420385896619	8.23634623672371	8.36694948625984	8.54353155210403	8.47765071791716	8.55274790570004	8.33744071755225	8.71106185246829
ILMN_1257567	6.26099877977145	5.86903553330337	5.99421331890699	6.01455860401919	5.98483494304777	5.90363780181403	5.8812237726676	5.83230424333424
ILMN_1242099	5.69285440267266	5.90215107986818	5.70470368401438	5.61785436056789	5.72727701882515	5.70043708244582	5.73779037704317	5.67562499850804
ILMN_2483786	6.69318843858873	6.19491783149678	5.99109739321382	5.91447453162739	6.70443920859597	6.13346049516697	6.03718646852551	5.97373688025595
