,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC153144.2,2.54123679416736,0.755170536270707,0.936614130405365,0.80982000234624,0.418043634738968,0.523301223005005
Gm45873,3.65089998719206,-0.708325311198518,0.872309445373521,-0.809813507821461,0.418047367941822,0.523301223005005
Gm26672,1.49863713199981,-0.75730604600429,0.936605213190742,-0.809591856057853,0.418174790264873,NA
Gm15200,6.21609251241716,0.690886826863112,0.852753412458995,0.809349577611094,0.418314096535768,0.523600036846625
AC163038.2,10.1621586515032,-0.567856293744184,0.701042285591706,-0.809133279800318,0.418438487434136,0.523713699485166
Map3k19,6.93302954948732,-0.744074309871614,0.923053207603472,-0.809094226550359,0.418460948922467,0.523713699485166
Agrn,291.188721558879,-0.396177576333718,0.489880684978248,-0.808720668439481,0.418675836843179,0.523947550205046
Tbx20,2.3068164880108,-0.744271518880136,0.916946275908858,-0.808458058440898,0.418826941139651,0.524099984564299
Actr1b,1698.12541042208,0.122992931734544,0.152144632998029,0.808395443220318,0.41886297431784,0.524099984564299
Uhrf2,1558.67964592479,-0.115604570136851,0.143013440298495,-0.808347484492672,0.418890574358222,0.524099984564299
Gm26891,6.07509211309303,-0.629637903489718,0.777437992684877,-0.808314048998264,0.418909816973701,0.524099984564299
Gm37912,3.60349670074096,-0.70220197997175,0.866096300069922,-0.808082102831804,0.419043319698117,0.524231916583313
E230029C05Rik,18.1470097083163,-0.413723993936433,0.511989858440287,-0.807951369592136,0.419118577684757,0.524290970438448
Olfr45,34.8408683706966,-0.319706800397446,0.395817291488782,-0.807627513591568,0.419305043090367,0.524489120561935
CT009711.2,2.48688628755868,-0.720747963723039,0.932969553339697,-0.80719694820152,0.419553023709625,0.524764185524641
Sh3bp5l,495.121632592786,0.160741062890421,0.199216199707508,0.806867100907395,0.419743054878179,0.524962160521053
4930412F12Rik,2.69329511071963,0.739455851859343,0.914289035407204,0.806824702634071,0.419767484981894,0.524962160521053
