liver_myc	kidney_myc	lung_myc	lung_mycras	lung_ras	tall_myc	eumyc_myc
213233	21859	224794	21393	26448	12483	16480
21355	21871	224796	21412	26561	12484	16490
21356	218734	225207	21413	268709	12489	16492
213649	218865	225341	214137	269016	12490	16495
21376	219181	225608	21417	269132	12491	16499
21386	219189	225642	214547	269209	12493	16513
214048	219228	225997	214639	26936	12494	16517
214290	21968	226041	214968	26950	12495	16518
214403	21987	226265	215280	269643	12505	16543
214424	22017	226352	215707	270091	12508	16553
21452	22063	22637	215723	270192	12512	16565
214597	22113	226594	215751	27205	12514	16578
215693	22134	22770	216725	27360	12515	16597
215929	22242	227753	21685	27660	12516	16598
216136	22245	228357	21687	29818	12517	16599
216227	22259	228550	216874	29820	12518	16600
216233	22276	228602	216881	29856	12520	16628
216440	22320	228778	21689	29876	12521	16633
216456	223332	228788	217012	30953	12522	16634
216558	223337	229474	217124	317757	12524	16635
21664	22337	229600	217258	319179	12557	16638
216831	223455	229603	217333	319180	12569	16639
21685	22349	229900	217410	319182	12575	16640
216871	22351	230103	21743	319183	12576	16641
216991	223631	230379	217430	319184	12577	16642
217140	223646	230673	217835	319186	12581	16658
217214	223665	230789	217887	319187	12608	16780
217258	22377	230857	21804	319387	12609	16792
217262	223776	231162	21808	319613	12628	16796
217316	224020	231633	21814	319710	12633	16801
21743	224647	231931	21817	320111	12651	16909
217463	224703	231986	218194	320398	12671	16922
21763	224796	232016	21824	320974	12695	16923
21767	225341	233103	21833	320981	12696	16952
217695	22598	233274	21844	327747	12700	16971
21788	22599	233280	21846	327954	12702	16988
21810	226243	233335	21858	328424	12703	16992
218103	226255	233733	21859	328949	12709	16994
21835	226527	233744	21872	329416	12727	170460
21871	226548	234267	218739	329831	12728	17059
218734	226646	234395	218772	330721	12747	17060
218772	226654	234564	218877	332934	12750	170676
218793	226971	234797	21888	353156	12753	170706
218865	226999	234915	218952	380683	12767	170716
21987	227154	235281	21912	380713	12768	170720
22017	22770	235442	219148	380842	12771	170741
22134	227731	235461	21916	381633	12774	170744
22214	227937	235527	219170	382077	12775	170772
22236	228061	236920	21922	407831	12778	170786
22241	228357	23792	219228	414801	12795	17079
22259	228852	23796	21924	434246	12799	170834
22262	229211	23797	21939	434756	12801	17086
223267	229487	23831	21940	434794	12802	17096
223337	229599	23833	22004	436022	12807	17101
22339	229663	238393	22022	436062	12810	171166
223455	229699	23871	22038	442801	12821	17118
22359	229782	239217	22092	50490	12835	171207
223631	229905	239435	22094	50525	12862	17132
223646	230099	23945	22138	50766	12874	171543
223649	230163	23962	22142	50876	12876	17155
223672	230558	240168	22169	52589	12890	17196
22377	230579	24051	22271	52685	12895	17210
223776	230612	240514	22287	53315	12902	17237
22413	230810	240725	22318	53318	12914	17259
22436	231050	24099	22319	53320	12916	17260
224530	231070	241041	223272	53328	12925	17289
224703	231296	24110	22330	53374	12927	17311
225020	231549	241116	22339	53376	12945	17386
225339	231583	24117	22341	53608	12952	17444
225341	231832	24136	22352	53614	12977	17470
225358	231876	241556	22359	53896	12978	17533
225362	232078	241732	22364	53901	12982	17872
225631	232086	242553	223649	54120	12983	17920
225651	232371	242584	22370	54195	12984	17936
225791	232430	242608	22371	54199	12986	17937
225884	232493	243362	223732	54338	13004	17961
226098	233038	243374	223864	54371	13010	17969
226105	233080	243653	22403	54396	13024	17970
226143	233315	243755	224109	54409	13026	17972
226243	233549	243881	22413	545007	13032	17974
22637	233799	243912	22416	54598	13036	17986
226418	233805	244091	224273	54725	13038	18003
226470	233836	244198	224454	55963	13040	18018
226548	234076	244608	224703	55983	13041	18021
22661	234267	244757	224794	56012	13048	18034
226654	234564	245877	224796	56045	13052	18035
