liver_myc	kidney_myc	lung_myc	lung_mycras	lung_ras	tall_myc	eumyc_myc
Cct6a	Casp4	Rab6a	Akr1b8	Lbp	Blmh	Stap2
Cct7	Casp14	Rab34	Fhl2	Lcn2	Arl1	Tcf19
Cd63	Casp2	Rgs5	Il4i1	Ldha	Rcor2	Slc39a6
Cd68	Ccnt1	Uri1	Fkbp4	Lipa	E2f4	Yars
Cdc25a	Cct3	Rpl18	Fpgs	Lmnb1	Rexo2	Psat1
Cdc25c	Cct4	Rpl19	Frk	Ly6c1	Rars	Kank1
Cdk1	Cd14	Rpl28	Fut2	Ly6d	Cnot6	Unc5b
Cdc7	Cd44	Polr1a	Fut4	Hook2	Tsr1	Acaca
Cdh1	Cd68	Rps16	Xrcc6	Bnipl	Ttc7b	Eprs
Cdk2	Cd86	Rps5	Gapdh	Mal	Ddx1	Ssr1
Cdk4	Cdc25c	Rps6	Gart	Mlph	Sptssa	Ece2
Cdkn1a	Cdc7	Rps6ka1	Kat2a	Bmf	4930427A07Rik	Il1rl2
Cdkn1c	Cdh3	Shc1	Gpd2	Mcm5	Spata7	Tcrg-C2
Cenpa	Cdk4	St6gal1	Gjb2	Mcm6	Tdp1	Col16a1
Chil3	Cdkn1a	St6galnac4	Gjb3	Mcpt8	Rab15	Mylk
Cit	Cdkn2b	Slc19a1	Gnpat	Mif	Slc25a47	Snrpd2
Ckb	Cenpa	Slc2a1	Grb7	Marcksl1	Fam84a	Nsd2
Cldn4	Cfi	Snrpd1	Lpcat3	Mmp12	Iars	Cth
Camp	Ch25h	Sox9	Cdca3	Mmp13	Nhlrc1	Pom121
Col4a1	Socs3	Spint1	Gstp2	Muc1	Gm38948	Cdc20
Cpt1b	Coro1a	Sptbn2	Gstt2	Nipsnap1	Gm15541	Cenpf
Smc3	Clns1a	Esrp1	Gsto1	Uhrf1	Gm37416	Shmt2
Csrp1	Cldn3	Vcpkmt	Gzme	Pafah1b3	Gm40123	Eif2b3
Cux2	Cldn4	Srm	H13	Etv4	Lrp8os3	Ltbp4
Cyba	Cnp	Sgms1	H2-Ab1	Pfkl	4930470G03Rik	Slco4a1
Mpp3	Coil	Stc2	H2-Eb1	Piga	Gm9828	Slco3a1
Dlk1	Col12a1	Strap	H2-DMa	Pip5k1b	4930509G22Rik	Atic
Dnah11	Col18a1	Suclg2	H2-DMb1	Pkm	B230354K17Rik	Galnt7
Dnmt1	Col4a1	Eif2b1	Hsd17b10	Pla2g1b	Gm42067	Sema3d
Dnmt3b	Col4a2	Sdc1	Hdgf	Plau	Gm42372	Adamts7
Arid3a	Col5a1	Mgst2	Foxq1	Pld1	Epdr1	Mthfd1
Dusp2	Col6a3	Paox	Hk2	Plk1	AW209491	Gm13427
Ear2	Col8a1	Mars2	Tfb2m	Lcp1	Ankrd28	Gm15522
Mapre1	Col1a1	Ddx46	Hmga1	Prkab1	Ppp1r3e	Usp46os2
Rhbdf1	Col1a2	Bag2	Foxa3	Prm1	Phyhip	Gpt2
Eif1a	Cp	Tbrg4	Hnf4a	St14	Thtpa	Galnt16
Eif3a	Crlf1	Atg9b	Hnrnpa1	Psmb1	Ppif	Atad3a
Eif4a1	Csf1	Tmem82	Hnrnpk	Ptgs1	Slc38a1	Fam72a
Elf3	Csk	Cdc73	Hpn	Nectin2	Tigd5	Nusap1
Mark2	Ctss	Tcp1	Prmt1	Raet1b	Mtbp	Rcc2
Emp2	Dnah11	Prmt7	Rida	Rasgrf1	Gm20498	Cdca2
Eno1	Dnmt1	Sertad4	Hspa8	Rbp4	Espl1	Lhfp
Eno3	Dnmt3b	Mmgt2	Hspd1	Rbpjl	Prickle1	E2f8
Epb41l1	Dusp2	Dhx33	Hsp90ab1	Rgs16	Qtrt2	3010003L21Rik
Epb41l2	E2f1	Nle1	Hspa9	Rgs5	0610012G03Rik	Pimreg
Epb41l3	Ear2	Tfdp1	Ica1	Ros1	Rfc4	Rarres1
Dmtn	Edn1	Eif5	Idh3g	Ccl17	Srl	Kif24
Eps15l1	Eed	Cep170b	Igfbp3	Ccl6	Dlk2	Cald1
Erh	Egr1	Mboat1	Cd74	Sema4a	Wdr90	Upk1a
Drosha	Egr2	Tgif1	Incenp	Sftpb	Rpusd1	Acy1
Evl	Eif1a	Tgm1	Itga7	Shc1	Tcf19	Ctrl
