liver_myc	kidney_myc	lung_myc	lung_mycras	lung_ras	tall_myc	eumyc_myc
170753	16560	27366	192897	23887	110109	12189
170755	16571	27374	19352	239393	110119	12190
170758	16600	27392	19369	23966	110183	12217
17085	16664	276770	19376	239691	110196	12228
17089	16667	277333	19385	239739	110208	12235
170930	16668	27979	19662	23985	110323	12236
170942	16669	27998	19734	240354	110350	12258
17105	16691	28019	19737	241230	110379	12261
17110	16776	29858	19886	242362	110391	12266
17118	16780	30877	19899	243725	110446	12268
17196	16792	30932	19921	243967	110460	12282
17215	16803	319446	19933	244954	110532	12287
17216	16818	319520	19934	245847	110606	12297
17217	16819	320685	19943	245945	110611	12301
17218	16852	327900	19944	252973	110651	12316
17219	16854	380752	19946	26365	110749	12326
17220	16881	381314	20016	26382	110750	12330
17279	16897	381319	20018	26415	110784	12350
17304	16905	382038	20019	26570	110809	12389
17341	16906	384783	20054	268396	110816	12406
17345	16907	385643	20055	268527	110821	12411
17357	16948	433182	20088	26903	110826	12416
17420	16949	50492	20103	271844	110842	12419
17427	16998	50784	20104	27260	110854	12428
17523	17069	50790	20135	27279	110959	12442
17532	170743	50933	20317	27361	110960	12443
17535	170758	51797	20351	27376	111175	12447
17685	170770	51800	20365	27392	111241	12448
17688	17084	52009	20388	27410	112136084	12449
17756	170942	52014	20425	277333	112407	12462
17765	17105	52024	20440	319165	11306	12477
17768	171095	52530	20448	319169	11409	12490
17776	17110	53379	20496	319446	11416	12501
17865	17125	53416	20500	319520	11429	12502
17869	171286	53868	20509	320078	114301	12511
17873	171543	54197	20641	320718	11431	12512
17921	17184	544963	20652	330890	114606	12530
17925	17210	54608	20682	353499	11465	12532
17938	17218	54670	20732	381236	114663	12534
17975	17219	54709	20743	381319	11472	12544
17988	17220	55943	20751	381605	114741	12545
18003	17304	55949	20768	384783	11486	12554
18046	17314	55989	207920	385643	114896	12560
18074	17345	56018	207965	432486	11519	12562
18080	17381	56088	20810	432720	11532	12567
18117	17387	56207	20826	433323	11534	12575
