"ID","Symbol","logFC","P.Value","adj.P.Val"
15496,"Hsd3b5",-6.65813276590807,6.31920404640649e-11,1.31917898185912e-08
620807,"Mup6",-7.740478490088,6.71674597496169e-11,1.3824198441143e-08
215690,"Nav1",2.34293103875504,6.91682716744232e-11,1.40382771385882e-08
64652,"Nisch",1.70775626904786,7.86300998645805e-11,1.57400225934399e-08
12279,"C9",-6.48796658001457,8.16970521920924e-11,1.61329597795006e-08
107146,"Glyat",-5.85702700371055,8.56632155070219e-11,1.66906209093882e-08
13835,"Epha1",-1.63357304114622,9.20035321709821e-11,1.76901002054548e-08
108030,"Lin7a",-4.30837958209853,1.33418982374387e-10,2.53201505121677e-08
21386,"Tbx3",-2.84166856764132,1.70574048204578e-10,3.15518805875127e-08
94175,"Hrg",-3.96328491227796,1.70438165777653e-10,3.15518805875127e-08
12268,"C4b",-2.70499648046107,1.75936879488009e-10,3.21370702494785e-08
64385,"Cyp4f14",-7.34128089784556,1.82466992101923e-10,3.29183969825359e-08
12763,"Cmah",-2.42919352348316,2.01920267140765e-10,3.59836690698537e-08
20526,"Slc2a2",-2.66768828273473,2.08129522594858e-10,3.65022865145318e-08
71753,"Tmprss6",-3.80143166534768,2.0982632363106e-10,3.65022865145318e-08
22637,"Zap70",-3.36553210759096,2.19742713906416e-10,3.77776503331113e-08
58239,"Dexi",-1.92277346774803,2.59083313893784e-10,4.35170628267801e-08
215387,"Ncaph",3.27711183177763,2.5846047472971e-10,4.35170628267801e-08
18029,"Nfic",-2.06423060781854,2.7272953142963e-10,4.52885982134226e-08
54150,"Rdh7",-5.86026431825103,2.91204404135998e-10,4.78131455914533e-08
29858,"Pmm1",1.99908475569254,3.53225057884998e-10,5.65927536053432e-08
56876,"Nsmf",-2.83308455625716,3.56294623396399e-10,5.65927536053432e-08
72002,"Slc39a5",4.00966239328813,3.52239769009806e-10,5.65927536053432e-08
14245,"Lpin1",-2.6744796569346,3.72777276644276e-10,5.7951003655349e-08
76467,"Msrb2",-3.06683092853929,3.72165450961751e-10,5.7951003655349e-08
320204,"Etfbkmt",-2.77252620491606,4.15596149851355e-10,6.39274372397668e-08
69834,"Rab43",-2.03664672112298,4.54372207025717e-10,6.91639693881958e-08
20517,"Slc22a1",-4.85398356205046,4.87192760218459e-10,7.3395338196622e-08
223646,"Naprt",-2.21229827506182,5.06491944319207e-10,7.55241508401691e-08
12236,"Bub1b",3.95387958636261,5.3084346339783e-10,7.774006040646e-08
74053,"Grip1",2.20781702335173,5.31992475237528e-10,7.774006040646e-08
19369,"Raet1b",-1.9180658748306,5.56932083899452e-10,7.90553625184671e-08
57429,"Sult5a1",-2.97928462818553,5.57223180688572e-10,7.90553625184671e-08
71755,"Dhdh",-2.59174129649429,5.49045969441095e-10,7.90553625184671e-08
117591,"Slc2a9",-1.96635912433284,5.96462496717516e-10,8.38087160051256e-08
28253,"Slco1b2",-5.42995120728793,6.13261636251625e-10,8.53484980051904e-08
64291,"Osbpl1a",-2.19018503317016,6.27875495474284e-10,8.65579680694878e-08
67880,"Dcxr",-2.75524119988347,6.68257195793336e-10,9.12639476834394e-08
80888,"Hspb8",-5.40714484452934,8.26961354364157e-10,1.11892465475217e-07
69101,"Ydjc",5.50658499430389,9.2453557283718e-10,1.23947140604309e-07
16571,"Kif4",2.61420254889718,1.02479526078267e-09,1.34983010938611e-07
56219,"Extl1",-2.23851042739238,1.02532773654868e-09,1.34983010938611e-07
26459,"Slc27a5",-5.90863458540266,1.05187023992786e-09,1.3602637005368e-07
94284,"Ugt1a6a",-2.97288697024917,1.04486603015962e-09,1.3602637005368e-07
12443,"Ccnd1",-2.47767019982983,1.06689091357999e-09,1.3675856947495e-07
74105,"Gga2",2.82818049666838,1.0779959617268e-09,1.36980478162728e-07
68294,"Mfsd10",2.98364768228171,1.10925543752476e-09,1.39737497487494e-07
381806,"Gm10319",-5.04363697472224,1.13606976287431e-09,1.41892200383609e-07
69863,"Ttc39b",-2.13795529906319,1.29249751289114e-09,1.60061577592188e-07
17175,"Masp2",-3.07716379835709,1.41172433320763e-09,1.73357375471959e-07
20714,"Serpina3k",-7.82301874699951,1.46867307342809e-09,1.78847663516706e-07
71898,"Apol9b",-4.4074786469295,1.637903395823e-09,1.97807291926955e-07
20208,"Saa1",-5.98285417025763,2.04342914693754e-09,2.44759263313101e-07
14067,"F5",-3.72842036636639,2.26431202647988e-09,2.6260628288056e-07
74318,"Hopx",-4.76672705907362,2.24576509745746e-09,2.6260628288056e-07
76184,"Abca6",-2.44593715177362,2.21524540989929e-09,2.6260628288056e-07
103655,"Sec14l4",-3.15372490799258,2.24919909817105e-09,2.6260628288056e-07
76650,"Srxn1",-2.50382777960412,2.28396919620830e-09,2.62800329639306e-07
