"ID","Symbol","liver_normal_batch2_rep1","liver_normal_batch2_rep2","liver_normal_batch3_rep1","liver_normal_batch3_rep2"
68202,"Ndufa5",10.3570279216819,10.8810480011852,10.8680352358197,10.7264981535732
68203,"Diras2",6.9315962901518,7.0107274400678,6.82670870510741,6.74367167438096
68204,"2900060B14Rik",7.65859567790069,7.69936530471302,8.37963449018336,6.74896803282126
68205,"Urm1",7.49204689207442,7.29365750763547,7.12763324509771,7.43162105117108
68209,"Rnaseh2c",9.17272794215553,8.95897632081922,8.66508393782079,8.79318525473
68212,"Tmbim4",12.8152168649762,12.5636474250472,12.4346383994116,12.6115024556997
68214,"Gsto2",7.17083913764877,7.29531190169968,7.1928490363376,7.42672276484705
68215,"Fam98b",6.85508231417625,6.71205131907937,6.92286450762983,7.04860377451188
68219,"Nudt21",8.74808930276398,8.83430485486141,8.89468469082744,8.78469645443629
68226,"Efcab2",7.30598726901948,7.27449579284455,7.58932486554856,7.38719728662932
68229,"Spindoc",7.49139765826372,7.44450902375554,7.17658487004392,7.47985205132039
68231,"H2al2a",7.96557947385898,7.71963003418556,7.51209482894854,7.76200696949867
68235,"Mturn",7.34851019286757,7.38702552801638,7.27862443598873,7.4067805250074
68236,"Gtsf1l",6.81981878030064,7.01696495486979,6.69032861024274,6.61150931320828
68240,"Rpa3",9.14573296441959,9.13324143922335,9.13744256715949,9.03488183906659
68241,"Mcrip2",10.4076014588466,10.2913403098859,10.1259568920377,10.2581852899014
68250,"Ciao2a",7.11720807361043,7.33233840539136,7.13189761545287,7.33148216057529
68251,"Babam1",9.63893645303376,9.71516022716754,9.55559563831875,9.67925661110245
68255,"Tmem86b",10.8068038741386,11.3178418706873,10.6441935414283,10.6517073406557
68259,"Ift80",7.29092961678337,7.5442598400932,7.48620836900743,7.17400539366112
68260,"Trmt12",6.9928896112997,7.03161862631307,7.02417852378793,6.9981430655636
68262,"Agpat4",6.75741462430755,6.44833435923202,6.7073860842141,6.8381680996247
68263,"Pdhb",8.78247408286445,8.75450017624662,8.85935067194543,8.85648454005642
68267,"Slc25a22",6.97022588588591,6.99925193023005,7.73330339857993,7.41059752143663
68268,"Zdhhc21",8.18227222151753,8.29135786668947,8.40941860929775,8.11885427623973
68270,"Dnaaf1",7.27303082660062,7.29145717919699,7.20155898890731,7.32267731468949
68272,"Rbm28",9.7181461418945,9.61460237798624,9.8815838084525,9.8128556284416
68273,"Pomgnt1",7.741857993118,7.67080727651955,7.34559301276415,7.51656942077522
68274,"Toporsl",7.16172170079796,7.30847826613093,7.64805961853635,7.55705620694597
68275,"Rpa1",9.66190867828781,9.99579585281451,9.87489728264578,9.81081913158839
68276,"Toe1",7.57539655453443,7.63973191552973,7.65156243508133,7.72565679673538
68278,"Ddx39",6.83257811283761,6.80854067054977,6.42505882037847,6.78024694813413
68279,"Mcoln2",6.75861875334064,6.18535176701369,6.23107871958953,6.30680045387516
68281,"4930430F08Rik",8.82749348952802,8.63634893335942,8.48100224732954,8.34397062895915
68283,"9530077C05Rik",6.49008042112343,6.48225712968027,6.19670476483464,6.37641950234569
68291,"Mto1",9.04670163597787,9.11402363279215,9.18570459727035,9.11356940772715
68292,"Stt3b",10.0830353180524,9.89518402794847,10.0617425687575,9.94430191909679
68294,"Mfsd10",6.99319823170659,6.77180319349534,6.45956892816224,6.62822758430038
68298,"Ncapd2",6.71490845468396,6.70675119946555,6.57971756148069,6.1142375615709
68299,"Vps53",10.2517015697263,9.98959997080722,10.0773349436449,10.2695329458301
68303,"Fam114a1",9.38669462174249,9.38743398973796,9.9868599638078,9.9494121135464
68310,"Zmym1",6.60351606706556,6.74769077339478,6.91996835531758,6.86710182908794
68311,"Lypd2",6.68288960624677,6.89659618233155,6.80068071273757,6.65939092556183
68312,"Gstm7",10.6648704773884,11.0707381283347,10.4698411325448,10.7404570950576
68314,"Hnf4aos",10.3271603997403,10.5692042029846,10.9541148603979,10.8464146677795
68318,"Aph1c",6.98853271626128,6.72427256516917,6.69883240618144,7.12239099269711
68323,"Nudt22",9.74096409009685,9.70646321637218,9.37378313927293,9.35350449986661
68327,"Tsr3",8.42341957552356,7.9691614605841,7.61631329015807,7.91970984744956
68328,"Rab13",7.29020526010888,7.24569552264642,7.22919153331034,7.34115070259701
68332,"Sdhaf1",10.1064517214657,9.77489530988555,9.62878703804848,9.95812878455238
68337,"Crip2",12.1768908130606,11.810715681516,10.7355932707794,10.9487087412388
68338,"Golt1a",8.99374172122595,9.55945678630008,8.56828774180687,8.88105101540049
68339,"Ccdc88c",6.72967229024256,6.73989215885479,6.57966940127681,6.47194527620491
68342,"Ndufb10",10.0842639175772,9.83729341638598,9.80557848119807,9.54792664809522
68344,"Tmem174",7.36107010039162,7.30489273139501,7.24626718989057,7.08772950957446
68346,"Sirt5",8.87114426195471,9.12425663763286,10.0556068836796,10.1041818601726
68347,"Mettl26",10.9573460119306,11.1488539036466,10.5372427309268,10.689562096725
