"","lung_tumor_kras_rep1","lung_tumor_kras_rep2","lung_tumor_kras_rep3","lung_tumor_kras_rep4","lung_tumor_kras_rep5"
"ILMN_2641467",12.8534228707497,12.4713084616234,13.2340726945489,13.1517033447025,12.5323391822335
"ILMN_1248672",7.20847824221171,7.41774705086736,7.3265137542314,7.02299192106136,7.04104306871793
"ILMN_2605212",10.0425998817129,10.20978841214,10.0047120507797,10.2274730505698,10.0159289645117
"ILMN_2667384",11.9645010680879,11.5394042083695,11.6978309293886,11.7159593098591,11.551651191859
"ILMN_2705508",7.05893877256917,7.50675385979461,7.0692483534096,7.53401100632843,7.20095989069682
"ILMN_2948143",7.75701490990423,8.81221742439602,8.20643444041857,8.78716796881982,8.66398053320768
"ILMN_2633726",6.92862940446725,7.12231034319074,7.05195660979441,6.66426949231891,6.99823782188805
"ILMN_3038743",7.28603788190551,7.20698380600033,7.20704483370935,7.43957119627645,7.55746370159782
"ILMN_2770725",7.22990030622133,7.38002808338077,7.50044356507596,7.33298758531934,7.39070637287278
"ILMN_2642349",8.02548565680839,8.17288062374904,8.83950891102973,8.80140523988165,8.4619398084157
"ILMN_1257987",7.19068892876818,7.12902536982563,7.06807287753925,7.27195901496034,7.02288792180326
"ILMN_2639360",10.4012962050352,10.2557293817204,9.7306505689239,10.0652646538431,10.0338875351161
"ILMN_2600389",7.75832733157019,8.04234337979369,7.99989432998951,8.12339396367116,8.10615395531361
"ILMN_3162446",8.03967305290738,7.91034291853154,7.68422263328295,7.70446566523639,7.74896850900951
"ILMN_2723826",7.53021123329988,7.6381643649027,7.75284056295996,7.5505063161701,7.87532699994331
"ILMN_1240318",7.25302014991486,7.68347715641428,7.77285063885376,7.86391522690943,8.0666610410941
"ILMN_2780392",7.06319282014265,7.01701715698319,7.34623669139025,7.52947935897154,7.26450124517451
"ILMN_2598877",7.93625145106682,7.43806408509364,8.00849865411064,8.08381170725288,7.54438492081483
"ILMN_2815752",7.24599828047271,6.95848021637118,7.22773626325424,7.04991659949849,7.26584942144085
"ILMN_2730651",6.95372357579831,6.95419631038687,6.54631572281727,7.11751324000542,6.99710889726184
"ILMN_2759963",7.19429516738191,6.92198966085596,7.28493974248679,7.13916760587681,7.04104306871793
"ILMN_2756030",8.70925616725348,8.65197102656921,9.54176213487024,8.90342057643357,8.79758047329379
"ILMN_2770471",10.7905572284634,10.7150128187587,10.6192972231449,10.7505290456546,10.9767431067343
"ILMN_1240256",11.1382157938429,11.0222550980754,10.8281116851801,10.9251788823252,10.6747384729101
"ILMN_2710274",11.9495873661793,11.7831491640749,11.6732593799133,11.8811880632694,11.5459116749707
"ILMN_1218241",7.27522243897984,7.22602075748044,7.16311501253249,7.1006623390052,7.19173782502715
"ILMN_2617843",7.04483806230472,7.42011812851216,7.58444581818947,7.51002235881376,7.68652241256092
"ILMN_1228122",8.47833988106208,7.91268354295533,8.64992975703662,8.44529942406644,8.50858711208948
"ILMN_2892678",7.43827205612483,7.09295529970608,7.29073886243935,7.17220871247797,7.2286984608995
"ILMN_2626535",7.12979817318714,7.2527245580846,7.01705196559287,7.21085395185382,7.21535098300245
"ILMN_2595992",7.11162474703725,7.54366020334297,7.29880721409497,7.23218105768664,7.3768850737475
"ILMN_3156529",9.67972199455216,9.43829805039589,9.20730417267616,9.32003895684682,9.07147912239237
"ILMN_1230339",8.82786863228118,8.56395889681009,8.4261336899697,8.40951027178444,8.33021664267841
"ILMN_2637113",7.00530874966767,7.13166407404645,7.09090634523191,7.22279490286811,7.2330204264745
"ILMN_1224385",7.12979817318714,7.06022306088117,7.13282100677957,7.14863546054867,7.18462743586396
"ILMN_1258323",7.32479935481874,7.16390121381454,7.12243977350895,7.01541505238669,7.40130620600601
"ILMN_1255691",7.72702700002017,7.60594243962537,7.45046380838552,7.38143479907682,7.51653722553104
"ILMN_1251837",7.19284759049794,7.27397039012467,7.20432659894124,7.17629783646256,6.69766263347052
"ILMN_1255164",7.19068892876818,7.1531086420141,7.06729990015333,7.18902146572414,7.12447677084589
"ILMN_2961216",11.9194406468435,12.0769783919934,12.0956658958493,12.3621801382002,12.193080609853
"ILMN_2619707",11.0656307053009,10.0928562237152,11.611313030789,10.6994423185811,10.2204690223533
"ILMN_2663230",9.40457613724035,9.04773740430915,9.23751621706532,9.63562743897454,9.23880775387041
"ILMN_1235635",8.78608580711367,7.97595541398384,8.70539479825624,8.54017648286749,8.05511293599552
