"","liver_normal_batch2_rep1","liver_normal_batch2_rep2","liver_normal_batch3_rep1","liver_normal_batch3_rep2"
"ILMN_3073406",6.67552446495531,6.90527378022589,6.93927763000336,6.93895367813872
"ILMN_1231291",7.04192937987779,7.22505150980214,7.10904533893233,7.21515165411132
"ILMN_2922560",8.37950463550966,7.9897220331348,7.72218840234677,8.11856994964368
"ILMN_2708010",7.06470142028382,7.12113833735967,7.0669879500815,7.04934796145404
"ILMN_2595395",12.3561626958624,12.2690092316074,11.4865064005948,11.4313290298852
"ILMN_1217058",12.8715278709627,12.6745947038264,11.7085667909805,11.7739072591421
"ILMN_2751771",7.17212270020601,7.07908124796434,7.5375873386913,7.36589233880295
"ILMN_1249661",10.0169534775142,10.2070525795003,10.2324954402785,10.4827084850519
"ILMN_2924778",7.21699635467374,7.08303018785879,7.92390148051958,7.44270505792596
"ILMN_2672147",8.87050291724606,9.21790392885387,9.18798314679153,8.87882437158765
"ILMN_1216788",9.46666574114455,9.44876487447533,9.45577628049406,9.45802988968159
"ILMN_2922321",7.22033570494744,6.95422648936619,6.78656829845773,6.87974799282816
"ILMN_2806439",10.0742137742304,10.3980389181949,9.73602056305892,9.74879106481652
"ILMN_2712976",7.13726020185929,7.28727776154118,7.19034910355092,7.29543561402408
"ILMN_2739303",7.08542244876439,6.77976394813649,6.74977157682338,6.90813070862195
"ILMN_1225544",8.20127538287216,7.76155762773318,7.57705532927675,7.89063756921666
"ILMN_1250531",11.2266778312325,11.5768202261678,11.2360936025024,11.022880610517
"ILMN_2728643",6.655854880955,6.72344564340558,6.77266242484362,6.77983888809512
"ILMN_1229397",6.22281018315502,6.26943860013521,6.33087439664862,6.22697691215935
"ILMN_1225873",6.14189551406347,6.04282235539371,6.32991308843768,6.19970285700838
"ILMN_2642339",8.26689772187965,8.24481310573723,8.73651189344032,8.69275000425276
"ILMN_3076439",10.4924402501019,10.5666103882606,10.9837894530721,10.7454044391857
"ILMN_3123195",10.5070949943829,10.540820953372,10.7012032867835,10.4157606677862
"ILMN_2634317",6.86465575444078,6.58585944067632,6.76467453142977,6.73441016066657
"ILMN_2888552",7.74519191190933,7.85859519659656,7.09160296104773,6.71765002447006
"ILMN_2593148",6.78789258268288,6.81048187122497,6.71681585925179,6.72844531981682
"ILMN_1252970",6.69429486138646,6.78303784405223,6.58914800538998,6.41058566005485
"ILMN_2776585",6.63147941508804,6.4549149912984,6.49930738818544,6.70699254698083
"ILMN_2739477",7.82394246900423,7.86015642559096,8.74818934073975,7.71694023535698
"ILMN_2707789",8.07122715453782,8.32694492036604,8.0550386478589,7.88155235068888
"ILMN_1247410",7.91728424455699,7.95490926937846,7.50302735809337,7.92359957997453
"ILMN_2589412",8.23044317177077,8.17017303163641,7.93238467630548,7.90687460314236
"ILMN_1248318",12.2697428871362,12.4500066632299,12.2285101101846,12.2907434598375
"ILMN_1247071",13.8860622557186,13.4209941714838,13.3765132630538,13.5849872117257
"ILMN_1251401",6.82132326210745,6.75244591138909,6.87745992628309,6.67051754112557
"ILMN_3126190",6.87220342269331,6.72722142948206,6.73959101985141,6.82811781768966
"ILMN_3050107",7.10233319819247,7.09862045640492,6.77135246714179,6.97490794012564
"ILMN_1253010",7.10487768922841,7.50799623811871,7.43415468244632,7.4611013416522
"ILMN_2746664",7.25503063647472,7.28232221211764,7.23339218476308,7.10230559662988
"ILMN_2777416",6.90790555124437,6.93601372214314,7.0694007919216,7.02059192442467
"ILMN_3152079",11.4683780028258,11.799459014061,11.1628413512705,10.9585611357239
"ILMN_2702633",7.1791899269118,6.82023108386064,7.37969242861417,7.18982332869079
"ILMN_2763366",6.90752947881368,6.6501574855332,6.68561413758584,6.71645936380128
"ILMN_1234533",7.13779238172518,7.03661941453081,7.14576255172618,6.9975961551308
"ILMN_1217683",7.07227492225572,7.19832826033211,7.262720665497,7.31875478448146
"ILMN_1223035",7.16830049051064,7.18019070858167,7.52319933156423,7.40762649887419
"ILMN_2834915",9.21141126496163,9.30387267588811,9.89603690564571,9.18928649345361
"ILMN_2834916",8.65720204584997,8.85917192230949,9.17900110054158,8.72486617248822
"ILMN_2651273",7.1454012904729,7.47850549183934,7.53594637334221,7.76939391314321
"ILMN_2708491",6.71018441975313,6.6966793294636,6.39324668865112,6.6613255870961
"ILMN_2457246",6.77645169222592,6.70072829625269,6.78697923919595,6.73949577471712
"ILMN_2766867",10.6172019557552,10.6657778626974,9.35258977372742,9.70085903880287
"ILMN_2730888",6.84299088941647,6.97292625273718,7.02774676413882,6.65058758275229
"ILMN_2800740",6.72212759823964,6.70278106518611,6.60720813304728,6.65070903598237
"ILMN_2800732",6.907369379204,6.97376148008674,7.10089079419681,7.19418732122451
"ILMN_2591076",6.78015197308027,6.76556656216339,6.7259724128908,6.39598344574397
"ILMN_2640927",8.23783923575342,8.19603757286837,8.92568584916094,8.70724644031294
"ILMN_1218441",6.28900363125919,6.23441870231607,5.69267731435714,5.69683487990527
"ILMN_2838501",7.72098268379618,7.43814256481488,6.63619154166421,6.76543861963918
"ILMN_1219643",6.78641668462328,6.66745766117786,6.8645555415541,6.80101642400037
"ILMN_2643377",11.554934767625,11.0081771806003,10.9710183840776,10.5926405502449
"ILMN_2619846",9.88206951363367,9.78860789712972,9.61599830046026,9.54745213581135
"ILMN_2919263",12.0627872884936,12.1478431436135,11.8684643934912,11.7833164109964
"ILMN_2730797",10.5840464412497,10.860623576576,11.0648923470797,10.7630782755628
"ILMN_3010109",10.9430945582987,10.8926421221635,10.7303657324396,11.0107917159738
"ILMN_2600053",9.20012413869571,9.34632958250378,9.24530118199424,9.48313425379816
"ILMN_3010110",10.6057227698706,10.7540274786391,10.2538477417231,10.5926336950713
"ILMN_2972855",8.23577706372204,8.0639032722904,8.55783970385908,8.31595412907562
"ILMN_2590896",9.67544843015672,9.31855361303835,9.98485283438333,9.93346475000872
"ILMN_1236546",8.40727006390661,8.30053232324418,9.34116069507654,9.29854779845904
"ILMN_1216852",8.00442463878527,7.80478297348341,7.63009592188837,8.05035014663864
"ILMN_2643032",11.8906459233134,12.2015405793025,12.3969482140514,12.3623664373622
"ILMN_3163476",10.4298209977895,10.6422844148043,11.0507328851264,11.0711431969398
"ILMN_2822071",11.2365739915411,11.039207594362,11.3964015748189,11.1060371742797
"ILMN_1222474",9.81990363603517,9.62703177274464,9.89497689714338,9.77311947921588
"ILMN_2704027",6.79997143637901,6.80585946283805,6.75870293372355,6.77607216196334
"ILMN_1237074",8.47769577934983,8.12671603186161,7.81430448487481,8.01797070206579
"ILMN_2611532",6.96354057588077,6.85863486234557,7.07381848241627,7.04026431692813
"ILMN_3138499",11.6581840430493,11.8978675043194,11.9001490716599,11.7941581870371
"ILMN_3061070",9.26597388066887,9.11155572735111,9.17511409990203,9.38524112781806
"ILMN_2737237",6.97022588588591,6.99925193023005,7.73330339857993,7.41059752143663
"ILMN_2675672",10.0517403146947,10.5524010104178,10.4184240671379,10.0771702961752
"ILMN_1213947",7.45370482135038,7.5783189047147,7.63740840700642,7.5224442034674
"ILMN_2841710",6.86788158657109,6.89508795870223,7.09516051652785,6.98231772771833
"ILMN_1216597",10.8510831075727,11.7041838833035,11.2965521743929,11.5568664038102
"ILMN_1256867",9.10931563362815,9.10769757106781,8.72845891219911,8.83076677422967
"ILMN_2858938",6.52436514326559,6.53832138474343,6.55722793337898,6.19754024917313
"ILMN_2722623",10.4019588543393,10.0984155170136,9.60486532480659,10.0743971109729
"ILMN_1225300",7.08265333569245,7.09374889956822,6.98836925440688,7.20513892759886
"ILMN_2751046",11.7847907065873,11.2184177577336,11.746455656289,11.6889859427223
"ILMN_2960467",10.5866313410787,10.5232972978517,11.030918946022,10.8214203152234
"ILMN_2675523",8.44830554812547,7.59323541672331,7.88890325466729,8.0781004115573
"ILMN_1235842",8.67501740180043,8.28707957387109,9.08397927632612,8.79024882551644
"ILMN_2761046",10.9489727691033,10.6846619288767,10.1727218692118,10.8091303592581
"ILMN_3052781",7.57606183277338,7.88245314387316,7.71338131246617,7.60394030083502
"ILMN_1258728",6.9795188119101,7.32733238116638,7.03553668028872,7.12445495540367
"ILMN_1245421",6.5159880295996,6.74135743283791,6.33873015853915,6.56511504306011
"ILMN_2733277",7.12512349460208,7.10200251878479,7.01852578616765,6.93567747110817
"ILMN_2696610",9.48296785462096,9.22792294580098,8.46583069630441,8.44341483563091
"ILMN_1256420",8.90054393303694,8.83347725489821,8.2491509747905,8.68939290592987
"ILMN_2946905",10.7768970536996,10.4894520113676,9.99013643294672,10.3167289831743
"ILMN_2946901",8.43371627795665,8.75892456064478,8.03580480490061,8.14838488648513
"ILMN_2855261",11.0192350357488,11.2225196635688,10.6975661092536,10.7675116975532
"ILMN_1225312",6.87869598607861,6.80430967810392,5.59586471416797,5.80718998326026
"ILMN_1248759",6.60063235311496,6.78648625844273,6.48151366744699,6.2991482527073
"ILMN_2810937",9.51694218942685,9.42419317785926,9.07542432995075,8.94646716262423
"ILMN_2734283",9.89500268247189,10.3702070716311,10.2725314508855,10.1332388123847
"ILMN_1251109",9.97931834686968,9.96229534969188,9.69925771121948,10.2424736615316
"ILMN_2660099",13.2011948451212,13.3780026948492,13.6061460678085,13.5783192913481
"ILMN_2959748",9.92557213956243,10.5715712063491,9.99424521554783,10.2631126442641
"ILMN_1224606",6.8363363998755,6.78898280090836,6.73611031188279,6.78617556272155
"ILMN_2545805",6.73119032904675,6.82825750196228,7.08674659816229,7.07720281802719
"ILMN_1220193",8.2372282324031,8.09016790467515,8.52145886020779,8.03948619061754
"ILMN_2668261",7.22755539469231,7.52822108503461,6.86757019811768,6.92660899865673
"ILMN_2833703",6.39527135802329,6.4836974917568,6.52946364519699,6.80874234760072
