"","liver_tumor_myc_batch1_rep1","liver_tumor_myc_batch1_rep2","liver_tumor_myc_batch2_rep1","liver_tumor_myc_batch2_rep2","liver_tumor_myc_batch3_rep1","liver_tumor_myc_batch3_rep2"
"ILMN_2552322",6.66477156747482,7.30272405562569,7.16685242186435,7.22007832904672,6.92756965850846,6.62049083678152
"ILMN_1245850",7.85964895885624,8.60214797211544,8.14910966122348,8.15127520295471,8.39209882192385,8.23111017584131
"ILMN_1217373",5.67062682927949,9.07822836139996,7.3406875977818,7.34175769818648,7.44052944625632,7.37473563913429
"ILMN_2775861",5.72081641650716,8.74560884412151,7.23758321482556,7.28306044790544,7.13590935962936,7.27629749889699
"ILMN_1223907",14.0063303604747,9.31997238964466,11.7530579135918,11.5902025524711,11.5719727449916,11.7373722891844
"ILMN_2499264",6.11096963982564,9.08330298890203,7.26374202965167,7.82089129858223,7.11658665172843,8.187325277493
"ILMN_2707902",6.56514311632577,6.90484318043835,6.7385500149012,6.68185448239826,6.64027867821714,6.87928941801163
"ILMN_2693151",7.70752821152694,6.85232787712357,7.69416452547486,7.09531479823562,7.16315622656512,7.16707662702543
"ILMN_1247490",8.40678492428391,7.44085913477946,7.29237797035029,8.23284371571522,7.49133662693578,8.67872980512545
"ILMN_2524067",6.63381083614769,7.38173369981602,7.21943756062965,7.13512002410648,7.07619029565629,6.600341191535
"ILMN_2619961",6.04427429449864,8.47611754665236,7.21122793502692,7.1467300953188,7.4709238305011,7.21190182145518
"ILMN_2481694",7.0755442974988,7.82019540178866,7.73644731238138,7.06192134177213,7.56175349311457,7.43135725130684
"ILMN_2548550",6.71440793093548,11.8127029838568,9.44181799858935,9.26847307911687,9.42537392473485,8.91855682714347
"ILMN_2545649",6.58024847028699,7.00805095602603,6.76384052993696,6.84208139613023,6.65861916852228,6.91205775803655
"ILMN_2551506",7.90613185014991,6.93885956507296,7.56720573629778,7.37742923152063,7.53898768254625,7.20636018008106
"ILMN_1250795",7.15669666978178,7.23652319111515,7.14239180719944,7.16954426957243,7.22837395566802,7.24612968935395
"ILMN_1260181",7.50983307936804,7.28868339920119,7.46141866869827,7.28270816038651,7.43972199852101,7.41318412953268
"ILMN_2616956",11.2604166679256,8.41199218991835,9.98277703555031,9.90273904666422,9.89930380508274,9.55999782839064
"ILMN_2594807",10.205480782059,8.09114554391369,9.4732912653945,9.53156754727884,8.97347401335233,8.61491982591963
"ILMN_1257872",10.8014321583426,8.90699680687818,9.82632200220515,10.0130130048696,10.0338881544134,9.54363476895343
"ILMN_1216601",6.82119527529139,6.91084838525788,6.82426891074061,6.7679614072044,6.91157994157599,6.96027706157755
"ILMN_1228033",7.66356317488099,7.355628931423,7.69023780022001,7.08113958221792,8.01592241686914,7.2510844133009
"ILMN_2650349",6.42637705964447,6.86731078472104,6.59982094073338,6.67604104108699,6.69930394929566,6.612209757615
"ILMN_2604403",6.50906126588956,6.81337853945422,6.75608162765479,6.62877484257679,6.77775566352041,6.48226747693557
"ILMN_2774580",6.32760594162499,8.47700899312179,7.46539621246179,7.35165966176082,7.71069071586066,7.08148327941031
"ILMN_2433166",6.72956069022554,6.892855314374,6.89135285614067,6.786025829959,6.84340328268588,6.72405004041353
"ILMN_2944601",10.2476529034533,10.4796148905323,10.3240845269786,10.5646998662807,10.3270617551951,10.2386894395169
"ILMN_2877029",5.58114580129108,8.88393279339008,7.29163917556923,7.13270764862559,7.32068690998828,7.18512345517922
