"ID","Symbol","kidney_normal_batch1_rep1","kidney_normal_batch1_rep2","kidney_normal_batch2"
67832,"Brix1",10.141816147905,10.3089733516895,10.1338531852221
67834,"Idh3a",10.4589087791982,10.48255322366,10.6255229293068
67836,"Wdr83",9.10314267530699,8.58910330297885,9.0109007044204
67838,"Dnajb11",12.2407763463728,11.804933896417,12.2049296976059
67839,"Gpsm1",7.67176215475693,7.60172883116136,7.90193432725627
67840,"Mrpl57",7.88903590420318,7.87125134970241,7.63808990606075
67841,"Atg3",8.2752890616984,7.92734813779176,7.87115608980819
67842,"Nop9",8.19334741159151,7.90930037774769,8.51337823889588
67843,"Slc35a4",11.0137581351969,10.8257277778209,11.1349869168957
67844,"Rab32",10.6465371809465,9.87570951578671,10.8742441094903
67845,"Rnf115",7.80888209540837,7.65717102886884,7.94301618594208
67846,"Tmem39a",9.40790730634582,9.28169322857532,9.48666043677249
67849,"Cdca5",6.93010318752863,6.84990709568009,7.28621041490127
67851,"Mtres1",12.2912364308354,11.971637700252,12.5333181588043
67855,"Asprv1",6.58074459639606,6.61674898927849,6.68248905637772
67856,"Echdc3",8.55105513447448,9.06831215551055,8.79678169816887
67857,"Ppp6c",11.3078958186053,11.326664814583,11.4501523365621
67859,"Cysrt1",6.5690852677916,6.34691951304142,6.50118248105516
67860,"S100a16",8.11544745741171,8.55985860199935,7.91700302436852
67861,"Akr1b10",10.0526106147997,10.2054048287825,9.90507078987048
67862,"2310033P09Rik",8.4882771619957,8.33148418514884,8.58265632865662
67863,"Slc25a11",11.2651970097794,11.2932284038076,10.8378706982251
67864,"Yipf4",7.97119979602328,8.25411016356705,8.21923904576862
67865,"Rgs10",8.48713138351127,7.87995084344888,8.86968952902615
67866,"Wfdc1",7.75629143532694,7.70455523053756,7.28814162247269
67867,"Lrrc28",11.1042945803765,10.6500463969236,10.6472066230335
67869,"Paip2",11.2057226929753,11.1429353878755,11.5511349144606
67870,"Enoph1",9.66739503257042,9.02432113851632,9.90220258369588
67871,"Mrrf",8.66935715858817,8.52183390943365,8.47117324254798
67874,"Rprm",7.04755988071133,6.94882378698292,7.1154785011847
67876,"Coq10b",9.55188981732837,10.0437274776405,9.67852734019571
67877,"Naa20",9.34494491484221,9.62542884276986,9.61508759897257
67878,"Tmem33",12.5950374141918,12.8163881040173,12.044871044785
67880,"Dcxr",12.6315485055599,12.7489264902538,12.2341662934609
67881,"Mdp1",6.78964400678869,6.70254203477129,7.09075256571593
67884,"Cfap410",8.77292848112773,8.66643206398471,8.56884970831759
67885,"Mtln",11.3744624967167,11.0997474872647,10.9311843441409
67886,"Camsap2",6.75090924353155,6.8778844877662,6.64381426714319
67887,"Saraf",11.9079378127997,12.0945596616741,11.7197195704381
67888,"Tmem100",7.27094852779531,7.09307706172586,7.43729558755686
67889,"Rbm18",9.21478149259967,9.29118373071885,9.13658241612704
67890,"Ufm1",7.263654258998,7.02135487171937,7.24935978663099
67891,"Rpl4",8.58389711152738,8.6798890582054,9.44416114683775
67892,"Coa6",12.912225544759,12.4886374076579,12.8549850087962
67893,"Tmem86a",12.2629843353733,12.088328967094,11.9527781041801
67894,"Fam45a",9.75690239841569,10.1614839517636,9.80788071908449
67895,"Ppa1",11.4592818603299,11.849298009165,12.2421376174875
67896,"Ccdc80",7.38914773002591,7.41320984852127,7.83754762851123
67897,"Rnmt",7.11190071877472,7.20796995064104,7.2356529532865
67898,"Pef1",11.080411869219,11.1034859527359,10.8650956934466
67899,"Cmc1",10.6106714033756,10.939482766707,10.8189066346651
67900,"Mtfp1",8.35302126083922,8.23031990935158,8.18826120026991
67902,"Sumf2",8.43714864945323,8.17764860825458,8.247268912167
67903,"Gipc1",8.78339085157042,8.65281679502224,8.53797739987738
67905,"Ppm1m",9.23972978769083,8.98377964897605,9.19874118873046
67912,"1600012H06Rik",9.22011052091894,9.12502207073267,9.20474025520348
67914,"Coq9",12.3294819427281,12.2389501272692,11.8912340659773
67916,"Plpp3",10.0333323699438,10.3723876326941,9.72686158701234
67917,"Zcchc3",7.80734963792694,7.891631155042,7.84985720816486
67920,"Mak16",8.88158721355254,8.74731575837313,8.87551756778583
67921,"Ube2f",10.2760508262362,9.90145053315167,10.1693730664208
67922,"Fam32a",7.74881251286021,7.95197426338683,7.68947447648723
67923,"Eloc",9.3459836562842,9.7324364439724,9.19216069317424
67928,"Abca14",6.76426446020284,6.44333307136958,6.63274855162829
67933,"Hcfc2",7.89614510820368,7.89135508764677,7.74630965045197
67936,"Wdr55",9.64850112832302,9.04525123744492,9.80015339763485
67938,"Myl12b",11.5109111886295,11.5546607437388,11.3733578694053
67939,"Prorsd1",10.8379779774936,10.8581063947227,10.9154362662146
67941,"Rps27l",14.3093639084338,13.9018051819779,14.4939286267285
67942,"Atp5g2",11.4369505945283,11.6361666517299,11.2943169494436
67945,"Rpl41",15.2486202172411,15.2443583710347,15.2002031290437
67946,"Spata6",9.04492946440973,8.83395876039783,9.26620260157081
67948,"Fbxo28",9.78987588105611,9.92583375705661,9.88121223289251
67949,"Nifk",9.63110043661838,10.0069799925267,9.94280835955294
67951,"Tubb6",8.64223784625807,7.97710011251223,9.35827790852404
67955,"Sugt1",8.18225298122043,8.14269798720313,8.49119404988267
67956,"Kmt5a",9.01640605388961,8.9431744145912,8.97423560832189
67958,"U2surp",8.91177436135511,9.58728151098237,9.44792042343626
67959,"Puf60",12.4546630159218,12.464979196957,12.5551321783709
67963,"Npc2",10.8819675407311,10.9394497551043,11.010948882182
67967,"Pold3",9.41282421035885,9.35918331437275,9.65770510196752
67968,"Ooep",6.70233244627212,6.49980741637784,6.79032434081769
67971,"Tppp3",6.5033767248706,6.78860440255468,6.67682437373858
67972,"Atp2b1",8.30014731645443,8.87518774614063,8.32485962050518
67973,"Mphosph10",7.22321418635032,7.32453773492473,7.33105588647409
67974,"Ccny",10.4493542174055,10.8383920404514,10.3170941464444
67976,"Trabd",9.41566537663593,9.04631735789372,9.08574723453151
67978,"Tctn2",8.83591518636562,8.59044837231872,8.87503632780807
67979,"Atad1",11.2025873065372,11.6160032512311,10.9858597242834
67980,"Gnpda2",8.2564108290871,8.6438915702005,8.47940936289644
67983,"Pdzd9",7.16180430659929,6.92895897701555,6.81544477305308
67988,"Tmx3",7.84337926196655,7.89298152346344,7.60573347960534
67991,"Nacc2",9.36345297955975,9.40987811195178,9.60631148796619
67993,"Nudt12",9.83077002693251,9.35319177729126,9.28406047060368
67994,"Mrps11",10.988424790624,10.8782321661523,10.7638034137771
67996,"Srsf6",10.037629296665,10.2544363173034,10.3926711203589
67998,"Retreg3",7.54048158985821,7.70470647950218,7.47688935205854
68001,"1110004E09Rik",6.6916406490895,6.93104123160847,6.7931888096152
68002,"Sdhaf4",11.571383974597,11.591152809386,11.4206224057659
68011,"Snrpg",8.80866847233293,8.75755465855806,8.87032471348066
68014,"Zwilch",6.47883082694497,6.44689409566473,6.92213919949482
68015,"Trap1",13.1768371033564,12.9496158946603,13.2863245869603
68016,"Cavin4",6.65726988473205,6.52152709347265,6.83081664059071
68017,"Mrm2",7.76810455981279,7.46809047345579,7.62882005862172
68018,"Cert1",8.00466734056405,7.86686370426485,8.00500579887382
68020,"Coa8",11.4855086786346,10.9934637045671,11.0599373771258
68021,"Bphl",7.92946003645012,7.48120719825612,7.40387213060701
68023,"Pdf",9.26131673819523,8.92586468311183,9.55184590202614
68024,"Hist1h2bc",11.5660980851697,10.8342993301328,11.1992055104578
68026,"Pclaf",6.0094637450649,6.33109495857641,6.96055254176557
68027,"Tmem178",12.0908801759838,11.3696815298411,11.9595220725086
68028,"Rpl22l1",8.9820582259712,8.39673955721601,9.66072415649245
68032,"Emc4",12.2280158506596,12.1518099887884,12.3128414760294
68033,"Cox19",11.6032416418288,11.1972115920431,11.3217319598877
68035,"Rbm42",11.0589756194253,10.7505707083527,10.9971799194859
68038,"Chid1",8.87291314537114,9.08988480853791,8.70357236565395
68039,"Nmb",7.36770251990764,7.59043082124832,7.52860893382236
68040,"Zfp593",7.26569201285175,7.46633587414406,7.62296344533148
68041,"Mid1ip1",9.64839629926311,9.63869777920431,9.4001324916488
68043,"Eef1akmt1",10.0575189533271,9.72786191216838,9.89428829967079
68044,"Chac2",8.60448398075434,7.7476524710416,8.01919327092061
68045,"Rtraf",10.8939104644088,10.9647992128937,10.8717071856517
68046,"2700062C07Rik",9.42786114327282,9.26926569881068,9.36041348461652
68047,"Mpnd",10.5727609521309,10.8335051924522,10.7146900028631
68048,"Aen",6.6471185164189,6.63182407177916,6.79148957031578
68050,"Akirin1",11.1626089954386,10.6502097702921,10.6436343765723
68051,"Nutf2",7.8768595866932,7.81796686355443,8.01310016639365
68052,"Rps13",10.0518831457497,10.1086694061618,10.0681365014099
68054,"Serpina12",6.65506898265089,6.41743965361159,6.46338670140951
68055,"Dmac2l",10.0420193734485,10.2899920430798,9.93908339884271
68058,"Chd1l",7.32045423027213,7.17070561321245,7.38284475846191
68059,"Tm9sf2",8.74857055178894,9.60818064813867,8.99246289316442
68066,"Slc25a39",12.4197765271719,11.9018409783634,12.3603744476385
68067,"Mrnip",10.1477081601678,8.98120856638514,10.1791334586893
68070,"Pdzd2",7.80705557097616,7.32346269738053,7.42332263036032
68073,"Atpsckmt",9.72928151031753,9.28244098227163,9.99106200523977
68075,"Lurap1",6.71282232321022,6.73787247905689,6.83431405293844
68077,"Nop53",11.029887351072,11.0997721805011,11.3731023822576
68079,"Pdcd2l",10.7169235464474,10.5642462019078,10.8786424828756
68080,"Gpn3",9.26383257880524,9.50927659976628,9.20368251997652
68082,"Dusp19",8.16973663130803,8.18275371604072,8.42432513025842
68083,"Pak1ip1",7.52347743550761,7.46090551202215,7.91186035710061
68087,"Dcakd",10.7660583174948,10.6911077128318,11.1183168960255
68089,"Arpc4",9.03141839804376,8.85932528628621,9.00454834786217
68090,"Yif1a",10.438426149945,10.2736302871831,10.1137166533932
