"ID","Symbol","lung_tumor_myckras_rep1","lung_tumor_myckras_rep2","lung_tumor_myckras_rep3","lung_tumor_myckras_rep4"
140919,"Slc17a6",7.35391870347623,7.14854013562605,7.10747864662662,7.09477048809678
142681,"Slc34a3",6.94346719048963,6.90805480142894,7.26854200030012,6.99378756313484
142682,"Zcchc14",10.6328418799361,9.94168038945604,10.7764690171203,10.5333784054065
142688,"Asb13",9.11302588439468,9.28697005869381,8.97909489289851,9.31262836702097
142980,"Tlr3",7.37237537462702,7.69161267632394,7.36293008205487,7.28013278159984
170439,"Elovl6",7.18000236469623,7.40210605912895,7.74336180686586,7.72383156649532
170441,"Slc2a10",7.64798084434782,7.77674384699378,7.73312636322608,8.07304890291675
170442,"Bbox1",7.18713552896357,7.13076359561452,7.08421046210365,7.01192606630681
170459,"Stard4",9.32078644897848,9.62473834995484,9.26777424954119,9.17634459144258
170460,"Stard5",9.21431110931685,9.96088979532894,9.47721769267585,9.31277206565132
170461,"Stard6",7.39161952202533,7.49260430438668,7.32783329675033,7.45476195126494
170472,"Recql5",7.71759074979573,7.99141555323277,7.84093524272076,7.69640250489664
170484,"Nphs2",7.5305947820329,7.44889021897991,7.55532272145656,7.7880870295921
170625,"Snx18",10.8933347154989,10.1199097338429,10.1713136469894,10.0761391752017
170638,"Hpcal4",7.20490732637886,7.29553937040683,7.49550530080071,7.47243700005133
170658,"Ndufs5-ps",10.9412264644883,11.3817254394837,11.0234468296882,11.0758342641391
170676,"Peg10",7.01872179197018,7.05697633617822,6.97172316117676,7.16848409175654
170677,"Cdhr1",7.09374766278567,7.05399373953262,7.01290383323064,7.08327986261633
170706,"Tmem37",7.07055704217541,7.07226661513207,7.33628338786443,6.93173475822059
170707,"Usp48",7.20490732637886,7.2081733809294,7.47390864604629,6.97727992349992
170716,"Cyp4f13",10.1974931626862,10.2672951122935,10.0503928599799,10.0874048273008
170718,"Idh3b",11.7010451393598,12.2029445211852,12.2617203187113,11.9996455346112
170719,"Oxr1",9.4687767548467,9.07191480979623,8.81981983986302,9.49227882891902
170720,"Card14",7.08673335329208,7.08964909457205,7.14261765544658,7.26303440583379
170721,"Papln",7.6217771686244,7.38348830399534,7.63512858960376,7.66115457630479
170725,"Capn8",6.77774845997228,7.00429070292593,6.99693242296272,7.14414836650889
170728,"Rtn4ip1",7.45270455843755,7.8920684175647,7.59411462332485,7.90784831732575
170731,"Mfn2",11.5449493442833,11.1725681458044,11.035602432713,11.2650985547714
170733,"Klra17",7.09582554770703,7.1845034663652,7.10295988591012,7.35590163832842
170737,"Znrf1",7.53571278521679,7.46633142208277,7.57783004540331,7.8886291071172
170740,"Zfp287",7.01708677336272,7.15184106293076,7.06477644071204,7.05168477503156
170741,"Pilrb1",7.88942791000779,7.43269847963059,7.79128500768444,8.09305436889348
170742,"Sertad3",8.47065887406055,8.48207684634614,8.80838102814691,8.97350006731705
170743,"Tlr7",8.0381473799815,7.69996278698978,7.37095979329739,7.61622718801073
170744,"Tlr8",7.57908018383476,7.22683361976556,7.39687231851056,7.28589343762372
170745,"Xpnpep2",9.33923761809279,10.9131839436851,8.95690245978192,10.1124720876025
170748,"Smco4",9.61004437250517,9.81955043927157,10.2301480623235,9.73464611992693
170749,"Mtmr4",7.22134544356244,7.44889062962926,7.33242822774375,7.27873982655011
170750,"Xpnpep1",9.69978707828825,9.53524746686409,9.63094937583385,9.2636050433819
170752,"Bco2",7.53352441485668,7.59467450368991,7.99717948093762,7.67591294012123
170753,"Zfp704",10.0501911148641,9.91912174755958,10.5132518228534,10.5990413938692
170755,"Sgk3",7.64951343451594,7.76074679189399,7.6758981506364,7.69742676316591
170756,"Slc8b1",10.3675410224915,9.52665817136107,9.44272324003051,9.7209175583785
