"","kidney_preneo_myc_1wk_batch1","kidney_preneo_myc_1wk_batch2_rep1","kidney_preneo_myc_1wk_batch2_rep2","kidney_preneo_myc_2wk_batch1","kidney_preneo_myc_2wk_batch2_rep1","kidney_preneo_myc_2wk_batch2_rep2","kidney_tumor_myc_4wk_batch1_rep1","kidney_tumor_myc_4wk_batch1_rep2","kidney_tumor_myc_4wk_batch2"
"ILMN_2837855",11.0049785171678,11.1665967951541,10.7155062103581,11.8012244803732,11.3732081059653,11.1580356199302,10.3219915234323,12.3859642836324,11.6067686978939
"ILMN_2649011",6.50819402669489,6.58643599120481,6.43593803973754,6.9120689602981,7.01407945874603,6.53657931773242,6.43963706804572,6.88073622938661,6.69960451811184
"ILMN_2701379",6.92111644285182,6.86359961105499,7.19329551016279,7.14840539422964,6.99686420045888,7.06393828525355,6.79721048661603,7.33052425613591,7.08051674526935
"ILMN_2702039",7.9836038055499,8.19482184631216,7.95828133473329,8.00376345333222,7.53659888448114,7.81032675789033,7.93981395134609,8.34288623564388,8.28852152261861
"ILMN_1245110",6.82208444568615,6.94399261928732,6.71875845579174,7.34796465329194,7.36003393855534,6.79950455097712,6.25113983794703,6.83786072747877,6.77007258144629
"ILMN_2738699",8.93988228001444,9.04916115370342,9.15540061435042,9.07335266962295,10.3112354978231,8.64370056161468,10.5667414947677,8.68334298975818,8.70689923351267
"ILMN_1235566",6.66896916132513,6.9255204762246,6.69234999069566,7.01424374477306,6.78170630904452,6.75545428137058,8.03711911807196,6.54927675639842,6.99479293470113
"ILMN_1252953",6.80594466115739,6.70520392043958,6.85370794731958,6.69268227747021,6.58147153061645,6.79234229253076,6.65374509846438,6.76421944438252,6.68619326902714
"ILMN_1236522",10.3265606945387,10.430205688209,10.4111191825127,10.8998714242521,10.1667467145445,11.6686564487909,11.1553252524506,10.9365975165215,11.9660629555525
"ILMN_2756665",8.92001977074094,8.69055006402745,8.70660451394878,7.85599237737028,8.06643781199698,7.8366286840424,8.84053526688466,7.79783276610996,8.33459333639744
"ILMN_2608811",7.55804102264914,7.14509046921004,7.2716765383831,7.34050948765809,6.95583638632903,7.36771837951168,7.81667411872817,7.40915258624906,8.23654799865636
