"","kidney_normal_batch1_rep1","kidney_normal_batch1_rep2","kidney_normal_batch2"
"ILMN_2473755",10.281906446702,9.67238044430065,10.3783910506552
"ILMN_2510260",10.4878523423518,10.6029452788062,10.5882905998918
"ILMN_3000008",11.6819162520942,11.7157877698616,11.4413376165569
"ILMN_1259848",11.1979116931779,11.0782074896869,10.8531691914033
"ILMN_1236274",12.4109883653654,12.4566750477577,12.5470456817435
"ILMN_1251809",7.8045020305303,7.92482063784963,7.61241532075196
"ILMN_2631192",9.61168029540616,9.46579331117056,9.76255566592081
"ILMN_1226704",13.5112170549715,13.8868797489341,13.5453965539843
"ILMN_2446175",12.0940796652926,12.1722451610507,11.6524455822441
"ILMN_2955883",13.4016653678168,13.4204347436644,13.5286154315138
"ILMN_2495644",11.7370007789746,11.8701511396705,12.2825068019524
"ILMN_1222817",7.39148754413214,7.56309486634334,7.61860714005685
"ILMN_2865558",10.5500034835743,10.4618888273213,10.8671023834183
"ILMN_2864844",8.6514434289145,8.54669467323144,8.45445867232381
"ILMN_2422410",8.23636135289484,8.479716468204,7.71861929894296
"ILMN_1252737",12.6512512172046,12.8383095614794,12.7061847024759
"ILMN_2844784",11.533587055394,11.7314210926436,10.8928887445889
"ILMN_1240149",10.5743322722009,10.5474579979474,11.2491224088555
"ILMN_1244133",7.17282918119166,7.53939917377498,6.9253706122297
"ILMN_2681670",9.31699683092805,9.29733896840025,9.53980118019647
"ILMN_2675152",7.94852271041822,7.55752335994683,7.68784545706557
"ILMN_1234930",8.29769952032377,7.70063411701171,8.30339478023439
"ILMN_2441359",7.70090348387992,7.75378285812988,7.35525076222036
"ILMN_3129752",7.92145898408435,7.95849858821592,7.4476058225118
"ILMN_2439130",8.95300978106892,9.20398984930814,8.65234297759333
"ILMN_1257279",7.72290565710134,8.32917578021877,7.90693222972754
"ILMN_2519345",9.46693989020575,8.81871845644991,9.36171370720418
"ILMN_2798803",10.0260907144956,9.87621386030877,9.83310113484933
"ILMN_2505668",11.036026840711,10.833459553653,11.054042800427
"ILMN_2455501",9.17104258230289,8.93261299946859,9.15833311811376
"ILMN_2821336",12.2870289840536,12.2482749084093,12.3357840703822
"ILMN_2655295",11.3984046227345,11.4020686491141,11.3867296746822
"ILMN_1258453",11.2306870173414,11.2268386649003,11.1556511904718
"ILMN_2451470",10.9003734512981,11.0264941957396,11.2159506513482
"ILMN_1225831",8.02992876177149,7.52713079497934,7.75134061082109
"ILMN_2668189",11.3815150035827,9.98557604124814,10.8978289378862
"ILMN_1244148",7.89344782032988,7.59652710795846,7.59180942632811
"ILMN_2488125",6.58462502313741,6.20872212824397,6.69576285209653
"ILMN_1229309",8.00296731462532,8.16762727969243,8.43727960658191
"ILMN_3123657",7.08087141687499,7.04834103004301,7.34087991576027
"ILMN_2943699",7.6194090321263,7.36657694810882,7.4499611293518
"ILMN_3160881",10.9091366002109,10.7876843955899,11.0370535537256
"ILMN_1236731",6.5037244565344,6.54940862645526,6.59357233190513
"ILMN_2762841",6.68091211308255,6.69493564286191,6.58365721984032
"ILMN_1245518",6.77430706898342,6.7136100002751,6.95826618351651
"ILMN_1241350",6.34833135085064,6.45771452221793,6.51138533828509
"ILMN_2438724",7.08492419670637,7.05537604209261,6.89348706138406
"ILMN_2973467",7.63738501263637,7.84529538688152,7.30265993382637
"ILMN_2625913",7.68336615924581,7.95648782991634,7.32022087355985
"ILMN_1251276",7.86460769936383,7.91672321833763,8.31716792838765
"ILMN_2917713",6.67448874372988,6.64122011684059,6.56614177134691
"ILMN_2925275",7.62003890257321,7.67530154041661,7.88599506646044
"ILMN_1230038",8.37828350576645,7.75808367239417,8.5588300435798
"ILMN_2484918",10.3805685313493,10.3812991561849,10.3497075546944
"ILMN_2480180",10.1839015182471,9.85732112531734,10.0047487388584
"ILMN_2454230",7.01032113255549,7.14451995444869,7.36121386827038
"ILMN_1224112",11.4637978761306,11.3049991397032,12.008351842898
"ILMN_2503190",13.1144543834574,13.1899817476991,12.8877331454789
"ILMN_2444023",7.30683080115035,7.42277853330708,6.71678436467817
