"","lung_normal_rep1","lung_normal_rep2"
"ILMN_2807474",10.6292712307723,10.8632086663324
"ILMN_2752497",8.25346342413487,8.33499947878782
"ILMN_2738773",7.42631717726132,7.63970246769146
"ILMN_1255898",7.88052100285771,7.78395995790355
"ILMN_1237529",7.19540296816309,7.54387765681251
"ILMN_2906414",12.212950385753,12.0423198648358
"ILMN_2698606",10.1812687488549,10.1970400320284
"ILMN_2695526",9.52900954398302,9.46594896415425
"ILMN_2695528",9.50100366340748,9.52125690000526
"ILMN_1215039",7.55588324311489,7.74319347911829
"ILMN_1222829",10.1868106516535,10.1580889365821
"ILMN_2617920",13.2583488772223,12.3181685303566
"ILMN_3118081",12.6974617384457,11.6819795575127
"ILMN_3043178",11.4263532166659,10.5679382554556
"ILMN_2661005",10.7993271604194,10.53242898362
"ILMN_2674655",8.08993041683761,8.2393001743642
"ILMN_2647669",7.78305961631276,8.0980156287718
"ILMN_2684563",8.37438746400546,8.09982446542904
"ILMN_1218384",9.46750366124219,9.33663207886034
"ILMN_2637066",8.92707421742385,8.76524465328376
"ILMN_2849359",9.64421681845824,9.51576142743391
"ILMN_2678389",6.92844435103761,7.21386365274935
"ILMN_3153614",8.6886655706632,8.52108509946431
"ILMN_2614983",8.85299758761332,8.1802821525626
"ILMN_2657516",13.8519539551357,13.9264303608137
"ILMN_1237830",7.24141715912788,7.14051027236822
"ILMN_2641828",7.12937962275335,7.33985000288462
"ILMN_2522765",9.02856224589653,8.87517338692739
"ILMN_3142224",14.3937654122176,14.3495179490715
"ILMN_2636384",14.5860074098495,14.5003832637493
"ILMN_2744693",11.0821906313633,11.1394594224255
"ILMN_2641816",7.77787171983317,9.72304227014026
"ILMN_1239181",7.97810265478538,8.06066216034096
"ILMN_1234241",7.31599862262856,7.05399373953262
"ILMN_2696537",8.00785072799002,8.03089124689286
"ILMN_2608574",9.28384076655806,9.25536795283007
"ILMN_1243516",7.42374622911477,7.22731509990549
"ILMN_2599719",13.8558046967274,14.0149325487759
"ILMN_2681601",7.93625145106682,7.82344685678094
"ILMN_1232195",8.23918081513183,8.63737205466349
"ILMN_2710589",7.10633392305558,7.17036325367673
"ILMN_2598438",7.50670428008978,7.44369470390574
"ILMN_3000536",8.6338807110101,8.64180339801072
"ILMN_1257061",9.44066157065521,9.51239480657039
"ILMN_2595106",7.39000769215312,7.407905043961
"ILMN_2710151",7.81534326487413,7.8014254497988
"ILMN_2960474",9.10997752751917,8.76341987419209
"ILMN_2759652",8.38566021508428,9.30226763619839
"ILMN_2955214",10.2802923051843,11.1200839427722
"ILMN_1231873",9.0472773096222,9.08847356705407
"ILMN_1235811",10.6277333583813,11.5564012734632
"ILMN_1246694",10.6623568407952,10.60910946495
"ILMN_1235751",10.3817592310802,10.1805929643442
"ILMN_2737090",7.89028327972843,8.50203616359938
"ILMN_2972929",7.69461906364691,7.63721354038702
"ILMN_2645295",7.83455005631161,7.9655498276678
"ILMN_1231457",8.43204595397839,8.9073507569604
"ILMN_1255511",10.5790389229682,10.859180475057
"ILMN_2689426",11.0992080713222,10.8244068876505
"ILMN_3000080",9.95542287949497,9.89854470628627
"ILMN_2629375",8.6057341433032,8.89434411182436
"ILMN_2863437",10.1372633534403,10.6061796293688
"ILMN_2790512",9.4487357980294,9.45033492383065
"ILMN_2739128",7.49072555032395,7.73674015545321
"ILMN_2629993",7.16594333429048,7.29591239338159
"ILMN_2664522",8.47401008356019,8.5778536429505
"ILMN_3159695",12.8065584323873,11.9821892297902
"ILMN_3080273",8.56897738521764,7.82714419098428
"ILMN_1221838",7.81686366025456,7.70256231628115
"ILMN_1255697",10.5596041369887,10.4609357762492
"ILMN_2679532",10.2181015362317,10.4563929206898
"ILMN_1222794",10.8873729511468,10.8860251742598
"ILMN_1220589",7.38537710769271,7.33455263375242
"ILMN_2694687",7.4031984750654,7.38154295118458
"ILMN_1236572",7.9766715160713,7.83727312847046
"ILMN_2756686",10.1418596713465,9.99758527007148
"ILMN_2967362",10.0219689359463,9.89854470628627
"ILMN_2633457",9.47627788480889,9.52501910639682
"ILMN_2679428",10.8973397057808,10.7940502723014
"ILMN_2661628",7.25785923463963,7.28436143845817
"ILMN_2846731",10.1952645395762,10.2791680131899
"ILMN_1217055",9.95110254500134,10.0512896738284
"ILMN_2679823",7.34972353587722,7.17629783646256
"ILMN_2636349",8.41368081277048,7.96744243070777
"ILMN_2617505",7.51653722553104,7.60158510142105
"ILMN_2975375",8.69302950883804,8.61479034940475
"ILMN_2975377",10.9203016753101,10.6357804604575
"ILMN_2689062",7.57303173354757,7.58058834251996
"ILMN_1234100",10.0703054634375,9.99843176687431
"ILMN_2593104",9.21836646411118,9.26049324660451
"ILMN_2746000",8.22580994062354,7.74907329587182
"ILMN_1222356",9.15165082997342,8.8248792071874
"ILMN_2943270",7.4286742230718,7.47937609116166
"ILMN_2590894",9.49147734556811,8.74394028375224
"ILMN_2666406",10.09938068822,10.1195653054513
"ILMN_2593774",13.0842779487639,12.5292170136206
"ILMN_1217812",8.045213599665,8.02548565680839
"ILMN_2593208",12.3316849955158,12.5199540800098
"ILMN_3162133",7.85529676580512,8.08188283689867
"ILMN_2734924",10.0452733352332,9.6619673277664
"ILMN_2856588",7.65999589242998,7.74907329587182
"ILMN_2963792",10.4439989613737,10.2141331553829
"ILMN_2697918",12.3035863450488,11.9468560277435
"ILMN_2699367",7.60218849676585,7.36473656453679
"ILMN_2596834",8.59292415562764,8.46014868935794
"ILMN_1222823",7.2251471727341,7.23977751256812
"ILMN_2878486",8.96206455372021,8.84727271608244
"ILMN_2893564",11.03972873516,11.0830304929346
"ILMN_2795854",11.6978309293886,11.5872442580701
"ILMN_1243170",7.55180437401144,7.38154295118458
"ILMN_1219820",13.3875394480687,13.670065607925
"ILMN_1223051",9.08793515373402,9.37095979329739
"ILMN_2734290",11.4795781917491,11.3680050596871
"ILMN_2943319",10.6418993352036,10.673253858069
"ILMN_3135697",8.72777158389188,8.86571394201058
"ILMN_2718284",11.6130786446964,11.3310533844344
"ILMN_2716876",7.7518369198869,7.68573432973065
"ILMN_2627733",11.5732714367318,11.1612992164545
"ILMN_1251273",10.6233414068311,10.5874611011409
"ILMN_2751653",7.67101024127845,7.7124195251136
"ILMN_2745433",10.563684875,10.8199146169971
"ILMN_1243679",7.11041805754724,7.05707790700122
"ILMN_1256488",9.71240877714061,9.67006975847256
"ILMN_1241196",8.95099323197964,8.58282411254702
"ILMN_2718416",10.9251788823252,10.9087866433909
"ILMN_1255564",8.15291857613662,8.43363759837979
"ILMN_2740207",7.82017896241519,7.75325854159335
"ILMN_1248750",6.9231046007921,7.07286951047518
"ILMN_2615431",11.1095735901234,11.6306596030155
"ILMN_1238691",7.36686858616709,7.36391571653872
"ILMN_3105117",7.30961845628307,7.20622074173996
"ILMN_3031706",7.05640063306869,6.94207459222685
"ILMN_2679477",9.74024455988615,9.19780028897866
"ILMN_2933887",7.98085360637974,7.94794735791664
"ILMN_2680038",10.1320016086086,9.79911969379956
"ILMN_2754787",9.17934931525126,8.73777547388288
"ILMN_2630512",9.69760834027644,9.52900954398302
"ILMN_1244030",7.9122157217658,7.90376889546086
"ILMN_1245322",7.05778870260627,7.36161485439478
"ILMN_2623480",10.6298375521058,10.605537391381
"ILMN_1251301",9.49642939290465,9.43542284616864
"ILMN_1255745",8.15911448004639,8.25405424464434
"ILMN_2847269",12.2041680044361,12.277946619838
"ILMN_3150536",7.81814275161113,7.88287227294746
"ILMN_3071764",8.67238114107868,8.9527503458904
"ILMN_2991574",7.45722695602803,7.60663654357953
"ILMN_2798079",9.91829491513838,9.53264813641787
"ILMN_1236716",10.9999515688726,10.2602506477349
"ILMN_2631656",7.29542457470032,7.37759013703221
"ILMN_1235616",7.46587246040031,7.39844977967852
"ILMN_2588521",8.36413465500805,8.3340637384709
"ILMN_2615601",7.16873478814553,7.16254868219992
"ILMN_1217040",8.68673030709245,8.45388791778566
"ILMN_2714031",12.5378129285674,12.508042334429
"ILMN_2690203",10.2169049701975,10.215479913901
"ILMN_1227824",10.9847433134446,10.5551223295713
"ILMN_2609516",13.6201489321236,13.1637675898196
"ILMN_2631342",7.37951374876712,7.46372870653983
"ILMN_1216883",8.90525536625342,8.87971725168664
"ILMN_2667441",10.2534781975968,10.1076911381781
"ILMN_1234692",7.20310325023664,7.23619362042353
"ILMN_2632839",8.29569719959013,8.01555443647847
"ILMN_1219904",7.73288816904629,7.54785850605842
"ILMN_2691566",7.97265675847807,8.4141302463636
"ILMN_2676253",7.32063134094811,7.34999990894388
"ILMN_1228666",6.99647348873323,6.78267065867701
"ILMN_2692960",8.83395740336777,8.31157804197045
"ILMN_2600813",7.65324815440372,7.72953577667879
"ILMN_2802643",7.90771690296233,7.84435269632496
"ILMN_2694463",6.62104451068146,6.88470475167921
"ILMN_2749840",7.07961811362136,7.02195159096251
"ILMN_2749842",7.22842790766808,7.31452660024738
"ILMN_2849016",8.24062738022805,8.12646249788259
"ILMN_1219591",11.4655185777578,11.0548205025355
"ILMN_3004177",7.04688526134401,7.1243152094225
"ILMN_2594768",9.14378975179297,8.98605533764582
"ILMN_2681984",11.2482018485663,11.4094539200702
"ILMN_2687854",8.5922234213594,8.45217687893805
"ILMN_2971314",7.84450962614219,7.91533789322218
"ILMN_1234086",9.41344282064478,9.32930582820863
"ILMN_2689939",6.85049941375812,7.0118562004485
"ILMN_2689940",7.09143538632361,7.29668682536344
