"","lung_tumor_myckras_rep1","lung_tumor_myckras_rep2","lung_tumor_myckras_rep3","lung_tumor_myckras_rep4"
"ILMN_2629835",12.9704676876868,13.2664443430876,13.0279491800424,13.0400820532149
"ILMN_2744204",10.8249140035636,11.0923731308006,11.470814547605,10.9760180871086
"ILMN_2753924",8.02309591282302,8.70239998285428,8.21913826227907,8.37658667398242
"ILMN_2797212",11.408263390132,11.6587832917648,11.8860347036038,11.4144011607405
"ILMN_1254715",11.5712993603662,11.6951929415536,12.0961159657829,11.3074996790879
"ILMN_2751709",9.99921609652403,9.80304132658508,10.4277580516808,9.60722626949021
"ILMN_2664049",12.3035863450488,12.3941997351885,12.0475947054508,12.0600921496058
"ILMN_1249407",8.13772764663871,8.43684164945938,7.72717594754043,8.34401843988133
"ILMN_1257408",9.11186922327828,9.5509030688808,10.48167962247,9.62258952592532
"ILMN_2609087",10.6364773530123,10.8617751245309,11.0601723869579,11.0452392009257
"ILMN_2633805",9.76594906388712,10.4384410105154,11.0335090375598,10.4532256134023
"ILMN_2598222",11.0741623736492,11.4250060414849,11.8545835358252,11.4777677511715
"ILMN_2668369",7.7518369198869,7.23912113181231,7.34510026357183,7.41436812512545
"ILMN_2740922",10.8737084414014,11.3788570289009,11.7005724720559,11.3074996790879
"ILMN_2663679",10.4012962050352,11.0465741037339,10.8739847334644,10.8235961263171
"ILMN_1216122",10.3531123570282,10.9993966963202,10.8665834835923,10.8554963096977
"ILMN_1236131",10.9290688112539,11.3688133562314,10.987112983135,11.4034847643732
"ILMN_2929031",7.60973280396492,7.63866216585965,7.62049477294806,7.44589426987669
"ILMN_2628672",7.96484622798405,8.41043810112131,8.53135709046182,8.43375494525187
"ILMN_2634295",11.2452852956553,11.2422958387193,10.9419691764553,11.2412458287326
"ILMN_2701363",7.79087790371399,8.11601899332509,8.31456908347599,8.08850669361927
"ILMN_1247384",12.1804433945326,12.1973222953822,11.7787983994252,11.8864444058643
"ILMN_2831273",7.54298347175607,7.98811658476014,7.46594896415426,7.63850379327693
"ILMN_2645772",7.87578774087844,8.1787270884492,8.00909378923501,8.32673844246218
"ILMN_2653020",7.40135954334602,7.28678875913321,7.29553937040683,7.23451808573999
"ILMN_2601865",12.0917432154778,12.1563221095364,11.7823251149319,12.0423198648358
"ILMN_2767187",11.6518000969477,12.9014290721701,12.6193717408884,12.2629757012279
"ILMN_2755519",11.2846361617761,11.7879408090711,11.9550254944505,11.6359872970347
"ILMN_2590185",8.03486772619306,8.44974190653253,8.30553454221931,8.52574101371638
"ILMN_2679770",9.6215596996282,9.82752134280747,10.3528089989782,10.1155557875389
"ILMN_2996648",7.98489903973181,6.91389916856808,8.47208155013361,8.1614783401898
"ILMN_2691360",10.147459346077,10.4503349238307,10.3455230638501,10.3199472566161
"ILMN_2841840",9.95921410110471,9.92602722516738,10.2184762056961,9.79432447652306
"ILMN_2681946",9.82830510618555,10.3234277743577,10.4168898697978,9.84537243514142
"ILMN_2786708",10.2605961550138,10.4819665173508,10.6919506627472,10.2810679184694
"ILMN_1254734",10.5293634448153,10.9419691764553,10.9028508465131,10.9594586464127
"ILMN_1256760",7.74590537197418,7.50193667768127,7.57783004540331,7.46765649180511
"ILMN_1224268",9.32962117521757,9.59865737448815,9.20995590622134,9.31064118088869
"ILMN_2619671",10.1287837838554,10.5375945589846,10.9385068030635,10.4363601937471
"ILMN_2758690",12.3932161436095,12.4745710310168,12.4667313008962,12.4383646585777
"ILMN_2717916",10.4002056833869,10.675543609836,10.8480017984976,10.6425763575219
"ILMN_2865239",11.172204805102,11.3239554596316,11.7751858660104,11.2826178952172
"ILMN_1226334",8.65830075567289,9.34439300912193,9.56478660312283,9.07099300809027
"ILMN_2747345",11.7028030772271,11.6177429377275,11.2851999036899,11.4698452859714
"ILMN_1233225",8.69835740595729,8.89787381058223,8.66543585411296,8.58205963370129
"ILMN_2745555",10.6975214669158,11.189685593975,10.6192972231449,10.8919592837063
"ILMN_2787396",10.3196156763749,10.5843636016321,10.4472769849172,10.1327567570728
"ILMN_2909068",9.72909493069097,9.89972510307617,10.3627178087398,9.72951984483276
"ILMN_2673024",13.2446179457611,13.5540491789696,13.31895140481,13.1780870816045
"ILMN_1239113",9.10783822938194,9.63048328553389,8.9730336169665,9.25524991562031
"ILMN_1246044",9.17250564209298,9.47866219687241,9.11304213289612,8.9435770752278
"ILMN_2680111",8.58604223934404,9.35614931365961,8.87589330662207,8.92171079118785
"ILMN_3005827",9.72071987585877,9.9504283160492,10.342178865053,9.89644593787699
"ILMN_3005828",10.6692394112526,11.1382157938429,11.1432317294357,10.8708414931213
"ILMN_2588199",8.17205240918307,8.23517656360249,8.47809967735937,8.02066748314219
"ILMN_2752224",10.2838624649727,10.6773893165014,10.5910430827816,10.5415322628345
"ILMN_1225936",11.523298532354,11.8511780568226,11.515832251706,11.4931174050178
"ILMN_2736094",9.26089013859896,9.79628301265582,9.72529169258062,9.63762111334329
"ILMN_2829295",11.427188423348,11.6616890397738,11.526807918398,11.5931780877716
"ILMN_2732565",10.4315367790079,10.8612808035887,10.9167938412457,10.9160427182122
"ILMN_1214937",11.1763640722371,11.9328790951645,11.3502244230829,11.5013022936296
"ILMN_3163302",12.3411487203294,12.7723583943963,12.1009702584653,12.5124333883809
"ILMN_2655774",11.9389110602273,11.7505421302676,11.8875252707416,11.7302843750545
"ILMN_1258993",10.1750816748283,10.9481504642428,10.3908004002116,10.6396685566348
"ILMN_2716014",10.0558162288172,10.1605253826019,10.4349278893054,9.99297373060506
"ILMN_2780177",9.24305494431773,8.96666766486705,9.29500836367605,9.09311215611127
"ILMN_1246725",9.59152234657073,9.83678019936239,10.3662129150268,10.0092600331182
"ILMN_2981818",11.9034441141523,11.9436961075835,11.4046027457796,11.6645889470456
"ILMN_2981821",9.23801654481123,9.69558718032965,9.45953407913525,9.56553053801031
"ILMN_1233192",11.3614263772284,11.3444207511233,11.1561067838345,11.3652698653963
"ILMN_2589266",8.62887837485058,8.99672062530525,9.05490103360527,8.76638396926789
"ILMN_2940766",7.49330507917572,7.38467584066955,7.16522106822094,7.16522106822094
"ILMN_2746283",7.57563378469642,7.24751220427672,7.32929181118605,7.08514046170176
"ILMN_2719732",7.17398937416653,7.02167404285837,6.89890364909389,6.9109424801156
"ILMN_1250529",7.13365599269125,7.17673415736136,7.17448881423068,6.82706477803546
"ILMN_1254692",7.06359731408199,7.02285325371783,7.17448881423068,7.1168637576909
"ILMN_2772710",6.87005641847295,6.82599227516791,6.89890364909389,6.90531178433765
"ILMN_2602352",8.97706522076258,7.77169578985002,8.07450945026652,7.95554093853094
"ILMN_1241695",9.76669453572044,8.26210953070913,8.15829410360404,8.72206038024202
"ILMN_3019158",7.15117513780857,7.07951811743065,7.02306124973533,7.12767196703898
"ILMN_3091003",8.37609825028802,8.45948284979587,8.81190647387898,8.61512382346948
"ILMN_1256614",7.61116315656525,7.21033650228458,7.36084708417966,7.23326015645858
"ILMN_2769777",7.27076252046605,7.28678875913321,7.19948831587497,6.95681173166275
"ILMN_2696610",9.93336793016744,10.0732796702204,10.1734741454484,10.1076911381781
"ILMN_2634358",8.56954710436913,8.29275299624998,7.87736082978545,8.37438746400546
"ILMN_3068452",7.11588898566159,7.60645148184167,7.41436812512545,7.39325637174838
"ILMN_2738726",7.32917967010236,7.23206110798456,7.19856781878454,7.07189805502115
"ILMN_1241923",7.36637686075028,7.24573095245662,7.13769563121477,7.51582301395463
"ILMN_2992653",7.39548058231391,7.30583375751525,7.40997426104134,7.37997395152924
"ILMN_2631098",12.1554645668241,11.6791199305984,11.0385375229347,11.6003514170914
"ILMN_2631097",11.9468560277435,11.3589807965325,10.8964128247262,11.3396273475804
"ILMN_2684651",7.20077602591089,7.42995588636901,7.21710951699004,7.65727378340871
"ILMN_2687905",8.15149228334533,8.70936387848765,8.93492556298166,8.40435659806415
"ILMN_1242990",7.18713552896357,7.46969268711279,7.43931146181885,7.61005591078862
"ILMN_1231379",9.53590714647684,8.20232282364012,8.52319437483097,8.2903068962579
"ILMN_1212724",7.03631100553877,7.04100883417382,7.12992693351039,7.22767610458856
"ILMN_2694960",11.4467925393476,10.466172076934,10.6224064994132,10.3593995490365
"ILMN_2831436",8.05426513962576,7.45830407263157,7.96744243070777,7.70357919007266
"ILMN_1227857",7.09582554770703,7.3229984479608,7.26965268759649,7.25213319267179
"ILMN_2699556",8.97906787148051,10.3216040156589,10.4209141998459,10.2918254053367
"ILMN_2909211",8.81996948512382,9.98752161318757,9.62600556943909,9.66575782601889
"ILMN_2847887",7.55372527841731,7.33088887522171,7.28880841134118,7.43102742426917
"ILMN_2757671",7.18431749214118,7.36577563532627,8.06729990015333,7.70647443359331
"ILMN_1246173",7.54121764173615,7.60719158640291,7.75705659243867,7.54237897876514
"ILMN_2596522",15.0996323841798,14.6744516032617,15.0513571248381,14.9355898102855
"ILMN_1219154",7.92879593226151,7.63603546020023,7.54812350585794,7.8356556908398
"ILMN_2740391",6.93913840511203,6.93332182073295,6.92651838694673,6.95681173166275
"ILMN_1225235",8.71749436128453,8.23346988752208,8.53331756377408,8.58817586639116
"ILMN_2595774",9.75444911675926,9.51170324555693,10.13091639494,10.0656769810559
"ILMN_2847038",8.96710014361751,8.75909756276747,9.0331476517817,8.99113206735936
"ILMN_1259783",10.6912418904681,10.344559453129,10.5787323767252,10.4395971671505
"ILMN_2742867",10.6300281730952,10.5142671488428,10.7638788782237,10.3547865728545
"ILMN_2879486",10.4042567964845,10.1050982379201,10.2420985547251,9.82545572459795
"ILMN_2737867",8.33237228005635,7.32136443203945,8.39970516817564,7.61716897745573
"ILMN_2932078",7.78935023987561,7.7779538872236,7.78129823373286,7.62680414493225
"ILMN_3137552",7.20634285914657,7.762465093029,7.54153226283452,7.6072840727829
"ILMN_2744006",7.79087790371399,7.53784932028463,7.03854180963384,7.23224102879803
"ILMN_1252545",10.0450215757277,9.70272463144416,9.66688970844026,9.47233545186793
"ILMN_2684260",8.8344216688324,8.60593086839641,8.40977542677483,8.43985685018114
"ILMN_2684261",9.03514274788591,8.58150660422354,8.58791812302789,8.47912342560805
"ILMN_1224894",7.63850379327693,7.60719158640291,7.44904544461421,7.35768944996101
"ILMN_1239041",14.6744516032617,14.655207159381,14.655207159381,14.959580903524
