"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1257515",0.234444146001394,9.37127344706255,1.2145787652492,0.254865153687657,0.463199242718203,-6.47993895413581
"ILMN_2690306",0.170168643064692,9.81949936517158,1.21423640255432,0.25498968372085,0.463376974789351,-6.48033383359192
"ILMN_3115777",0.14711585627812,7.12239945249743,1.21402505865526,0.255066582045024,0.463435850521968,-6.48057755651929
"ILMN_3129752",-0.183589827123509,7.99939422596332,-1.21397292104791,0.255085555421597,0.463435850521968,-6.48063767718302
"ILMN_2659168",0.290203182583108,8.861951373428,1.21392690230046,0.255102303039616,0.463435850521968,-6.48069074054895
"ILMN_2734370",0.180490977130491,7.29798114614251,1.2132433138357,0.255351186901278,0.463786201722502,-6.48147880281156
"ILMN_3060168",-0.182469211402138,9.11797063852596,-1.21318307955656,0.255373126718955,0.463786201722502,-6.48154822742199
"ILMN_2467320",0.130867787261268,7.02965876660736,1.21313327926206,0.25539126720465,0.463786201722502,-6.48160562418873
"ILMN_2658355",-0.133242858732699,6.99230837088198,-1.21310327032134,0.255402198905981,0.463786201722502,-6.48164020983304
"ILMN_2628236",-0.194356018831407,7.23882683050698,-1.21293279928777,0.2554643055635,0.46380457961829,-6.48183666791187
"ILMN_2680635",0.226823762940626,7.22383498969058,1.21292858100887,0.255465842538584,0.46380457961829,-6.48184152898341
"ILMN_1214952",0.17491032643454,10.1979945333859,1.21283251820651,0.255500846083741,0.463819541581367,-6.48195222678909
"ILMN_2756632",0.459598198366685,7.75568708586525,1.21252590822041,0.255612595285713,0.463973804869783,-6.48230550593347
"ILMN_2729224",-0.138389719220891,7.00401929576247,-1.21228748329538,0.255699520737521,0.464082981872654,-6.48258017697712
"ILMN_1217302",0.182032853982057,7.25969067943435,1.21220854494377,0.255728305537381,0.464086624426005,-6.48267110719342
"ILMN_1257117",0.124793336557731,10.0353904528674,1.21197166794365,0.255814698331173,0.464194800207053,-6.48294394352649
"ILMN_2716968",0.181509209070149,7.65556635465286,1.2116667751971,0.255925932449021,0.464348025049622,-6.48329506410685
"ILMN_2665359",-0.137654858499238,7.57287796546437,-1.21147079507284,0.255997452685178,0.464429169107801,-6.48352072503796
"ILMN_2594433",0.185577807929247,7.2242422582353,1.21108380539773,0.256138726901507,0.464636830220851,-6.48396624608032
"ILMN_1219796",-0.145164100596149,7.11564737512511,-1.21100869648108,0.25616615345423,0.46463794929516,-6.48405270314203
"ILMN_1246435",0.164108679987896,7.32940706759402,1.21051884253444,0.256345085605662,0.464913842468787,-6.48461647365872
"ILMN_2821788",0.149264688204144,7.18256461252062,1.2102190580424,0.256454639904834,0.465050059517822,-6.48496141283531
"ILMN_3106388",0.222782931373784,7.67917369075128,1.21016647468737,0.256473860069895,0.465050059517822,-6.48502191012855
"ILMN_2710589",0.152791904793088,7.24748566321836,1.209938300692,0.256557275332914,0.465152645548147,-6.48528440291372
"ILMN_2897137",0.163357936109612,7.02710329551209,1.209768604795,0.25661932660567,0.465216480063062,-6.48547959892179
"ILMN_2798029",0.139283312320224,7.17735852728863,1.20944222374804,0.256738705876142,0.465384218339024,-6.48585496940675
"ILMN_2760353",-0.163454698567115,7.36040392406438,-1.20924997678808,0.256809044481311,0.465463035965865,-6.48607603813955
"ILMN_3135323",0.126728886209139,7.68796259159119,1.20913684514289,0.256850443979495,0.465489390840597,-6.48620611866294
"ILMN_2850170",-0.237438613443334,9.68988855528385,-1.20894323902726,0.256921304948006,0.465541336738847,-6.48642870955564
"ILMN_2498416",0.173000037342067,9.51222313053987,1.20891175296811,0.256932830529518,0.465541336738847,-6.48646490695558
"ILMN_2938851",0.158652928704736,7.06408565991051,1.20815260111128,0.257210847770402,0.465996362399,-6.48733744614928
"ILMN_2889916",-0.142811207604701,8.83805107751532,-1.20795416296796,0.257283560190679,0.466079375108671,-6.48756545772116
"ILMN_2662243",0.224571172042676,8.58512403025363,1.20741539541445,0.257481061461169,0.466344149210086,-6.48818438157116
"ILMN_2740646",-0.142012599657697,9.10707114556236,-1.20736004626675,0.257501358302983,0.466344149210086,-6.48824795408231
"ILMN_1257579",0.268780062392841,11.3279130689815,1.20732730801766,0.257513364212835,0.466344149210086,-6.48828555534294
"ILMN_3161617",0.152696463229154,7.49959073385738,1.20726190004074,0.257537352264136,0.466344149210086,-6.48836067695341
"ILMN_2766542",0.154010169233584,7.34253183914571,1.20712907749332,0.257586069853215,0.466364465894458,-6.48851321569423
"ILMN_2588650",-0.149648518030832,9.90663773421937,-1.20708458544902,0.257602390629949,0.466364465894458,-6.48856430942472
"ILMN_2807750",0.191185868863164,7.95116485536482,1.20692352255679,0.257661479477292,0.46642271786306,-6.48874925926583
"ILMN_2888342",0.189729254557974,7.82425417745304,1.20671239944852,0.257738950474725,0.466509381142146,-6.48899166658957
"ILMN_1217629",-0.43783883111213,9.2482798099018,-1.20664635463158,0.257763189303398,0.466509381142146,-6.48906749161738
"ILMN_1254840",0.137596109239478,9.67376705086645,1.20639513254828,0.257855406149184,0.466585861736401,-6.48935588831687
"ILMN_2663920",0.287470599320466,7.76682411807514,1.20629870865322,0.257890807863429,0.466585861736401,-6.48946656899454
"ILMN_2648742",-0.197668233160314,7.21875010495605,-1.20624821893208,0.257909346569926,0.466585861736401,-6.48952452133089
"ILMN_1251839",0.248873941918818,7.8583354042696,1.20623789959263,0.25791313573566,0.466585861736401,-6.4895363657003
"ILMN_2603253",-0.161920139889998,7.26559796879035,-1.20610344467997,0.25796251045895,0.466626476230462,-6.48969068414408
"ILMN_2754492",0.132318041650251,7.5224885901085,1.20596740475589,0.258012475033423,0.466655853395584,-6.48984680907204
"ILMN_1248907",-0.135060972671246,12.3807203348919,-1.20591260774483,0.25803260302867,0.466655853395584,-6.48990969273611
"ILMN_2738972",-0.18269165093283,8.63329494090615,-1.20546736334902,0.258196197059195,0.466902993659527,-6.49042056716532
"ILMN_2615547",-0.200414012517217,8.01326668311267,-1.20529558739992,0.258259334355151,0.466968442744823,-6.49061762672128
