"ID","Symbol","lung_normal_rep1","lung_normal_rep2"
73318,"Ube2d2b",6.8487011755662,7.08510725775141
73327,"Pradc1",8.26915590687282,8.60479643751065
73341,"Arhgef6",10.1524749916873,10.31936517694
73373,"Phospho2",10.2128307258313,9.70860973091828
73385,"Fam177a",9.94581438924487,10.0940483082728
73389,"Hbp1",11.0004662534675,11.2052718545448
73390,"Msl3l2",8.1862071139153,8.83308773842201
73419,"Armt1",8.45975230039068,8.5849512912826
73430,"Zfp974",7.50362700598347,7.28010377541656
73435,"Tex35",6.95572254895438,7.13410540040181
73442,"Hspa12a",7.00049302440425,7.12734954105912
73447,"Wdr13",7.79912276509848,7.8476208619109
73451,"Zfp763",8.88771296645136,9.18111562737528
73453,"1700067K01Rik",6.97172316117676,6.87175125985437
