"","lung_tumor_myc_rep1","lung_tumor_myc_rep2","lung_tumor_myc_rep3","lung_tumor_myc_rep4","lung_tumor_myc_rep5"
"ILMN_2611352",9.87679989424029,10.238647307864,9.7697965287469,9.85230516809854,9.69320379209826
"ILMN_2622630",9.24293589533958,9.30145332503972,9.38127255571179,9.24271265202404,8.81221742439602
"ILMN_2596016",9.936628738112,9.52346394355377,9.83398704179784,9.72125943177452,10.1464970801433
"ILMN_1245913",7.5377522736654,7.23134120026459,7.38602412868836,7.51286389139072,7.34911532870332
"ILMN_3041584",7.17417668445276,7.24472059934132,7.38143479907682,7.31271281612019,7.0334574165621
"ILMN_2669540",11.2474380293431,12.2142280386933,11.867681738276,11.9727375221561,11.7695331185538
"ILMN_3116330",10.9203016753101,11.6653220365088,11.2005768126127,11.3788570289009,11.1858200979084
"ILMN_1223358",9.904079487442,10.3688065370578,9.87046105017075,9.4651837439944,9.48869374412504
"ILMN_1240471",13.5762030965971,12.9500284132142,13.7374190067629,14.0601195997284,12.4789670666332
"ILMN_2769680",10.9566620177909,10.2284279076681,11.4015295429582,11.1850496270458,10.1492866790015
"ILMN_1243451",8.23311032988681,8.67564835489475,7.46701959095647,8.36548859847665,9.22466496841262
"ILMN_1255473",10.4735789248608,11.4066102745666,10.5490115025331,10.2972458789267,10.1710907714235
"ILMN_2915716",8.95736508445829,9.09712682378535,9.47759385459055,9.05947966489564,9.13396898785887
"ILMN_1254001",9.69677196696615,9.81915123479165,10.1355970721262,10.2393001743642,9.84184932064757
"ILMN_2665198",9.2903068962579,9.60235090624933,9.16191916542725,9.13027291994696,9.18282107722619
"ILMN_2693895",12.4635147944391,13.2766624069285,11.4373326988756,12.8109757295586,13.3361709170436
"ILMN_2639189",6.89398403266666,6.99820255636192,7.20701432017753,6.93324804257236,7.05399373953262
"ILMN_2776681",8.54807532769661,8.07395743379111,8.66595763451472,8.59932011858394,8.90854273731734
"ILMN_1236932",6.84180019140179,7.23236096354254,7.20603754624659,7.76714991228485,6.9122157217658
"ILMN_2727893",10.9754808005296,11.3869806488392,11.1184179685122,10.6382096266336,10.9552230652687
"ILMN_2746968",12.8591549904088,11.1763640722371,12.0758718593968,12.4118055611366,11.9670280728283
"ILMN_2607196",8.44669563070984,8.36051791468189,7.97283622717858,8.14086171672225,8.80786806632855
