"ID","Symbol","lung_tumor_myc_rep1","lung_tumor_myc_rep2","lung_tumor_myc_rep3","lung_tumor_myc_rep4","lung_tumor_myc_rep5"
319148,"Hist1h3c",7.02707662314038,7.34368540778361,7.0134971542917,7.20856968803564,6.74911520848576
319149,"Hist1h3d",7.71123676779378,8.83035674741922,8.18701177480503,8.0195212327033,8.28586454703185
319151,"Hist1h3e",7.74336180686586,8.97906787148051,8.15522934507457,8.16779445197852,8.11522251244448
319152,"Hist1h3h",6.57412043500975,7.2128611165929,6.86352811328661,6.86174605151649,6.75187875229113
319154,"Hist2h3b",12.3316849955158,12.2890732809199,12.2013983902278,12.4354814482379,12.3456893775411
319155,"Hist1h4c",7.18803242928049,7.39930463094524,7.38332629141313,7.42516344070766,7.23245090805826
319156,"Hist1h4d",7.23694099916155,7.49720317678035,7.60864755864647,7.45732957321571,7.30569128178055
319157,"Hist1h4f",7.99247812941816,9.19621788942049,8.10960215506941,8.47137038746394,8.24771987380456
319158,"Hist1h4i",8.06292309449739,8.79549180002787,7.93829314415169,8.28079976290682,8.34983409145725
319159,"Hist1h4j",7.63544605916026,8.55542794150115,7.94350381966564,8.09757129472463,8.65868010397089
319160,"Hist1h4k",7.3731642305513,8.09510027711684,7.60211888710427,7.60344089668709,8.04909978699776
319161,"Hist1h4n",7.27227985692172,7.86712426730297,7.49675393344593,7.13916760587681,7.76101095169633
319164,"Hist1h2ac",7.22113394235708,7.2078684552121,7.40718808448326,7.24305494431773,7.10315664835549
319165,"Hist1h2ad",8.98395552581109,14.049757633831,11.7814672968565,11.3332182571531,9.23426359332513
319166,"Hist1h2ae",7.17947372841457,7.97724414192919,7.54339438236166,7.53486214669632,7.48859333383541
319167,"Hist1h2ag",7.33349082177844,11.0506266803465,8.97427117362758,8.39970516817564,7.32659801641878
319168,"Hist1h2ah",8.78485973796928,14.0237018407042,11.8454581976112,11.1034763301051,8.91524451308914
319169,"Hist1h2ak",9.05297553422471,14.2637840553923,11.9602825495181,11.2141293599207,9.24317398347295
319170,"Hist1h2an",9.09290576256113,14.2945301109684,12.2567154744243,11.5134993814407,9.06101672005834
319172,"Hist1h2ab",7.49009875488424,7.73864119017404,7.07751673673806,7.48608080265197,7.37057843780978
319173,"Hist1h2af",9.17014414420069,14.3595415368903,12.4062614841763,11.6961389336892,9.37522953300252
319176,"Hist2h2ac",12.1804433945326,15.7306283478509,14.4162536606009,13.9531096988031,12.5966542119355
319177,"Hist1h2ba",7.09050943706098,7.09295529970608,7.13410540040181,6.88256663340585,6.98967832731779
319178,"Hist1h2bb",7.4213811116671,7.58439883787324,7.2188053803736,7.09401168713392,7.24406646419482
319179,"Hist1h2be",7.17061362376559,7.27626983091227,7.27833329452294,7.33477607357025,6.99060038115963
319180,"Hist1h2bf",9.63326772084258,10.3758539764185,10.4023259410175,10.4107295814318,10.8032835520794
319181,"Hist1h2bg",7.27943647219121,7.34001697181495,7.24869848485246,6.90734136737937,7.41816886069155
319182,"Hist1h2bh",9.103509113972,9.65482619756716,9.69445583392191,9.74629911847388,10.1677866132682
319183,"Hist1h2bj",9.46387555320298,9.84295919567036,10.0430700168195,10.196456128479,10.4294786652353
319184,"Hist1h2bk",8.46750366124219,9.21193391023634,9.26400268711422,8.84647960415365,9.17774653672091
319186,"Hist1h2bm",8.2732710993855,8.85662005367685,8.6846171416141,8.66720026597905,9.02427396254
319187,"Hist1h2bn",8.56755210226614,8.92375458473099,9.01623374114943,9.09074098009746,9.30452244971526
319189,"Hist2h2bb",7.31171993756142,7.62694099921522,7.25100893012995,7.36153261284112,6.92414443457745
319190,"Hist2h2be",8.15911448004639,8.51500986011449,8.57860856073775,8.66906220864346,8.07542900861297
319229,"Sctr",7.12667221185993,7.31995431068694,7.52209106888706,7.2926092227643,7.30839591762353
319262,"Fchsd1",8.95736508445829,8.2294947953466,8.77376767265308,8.60857825994382,9.35241591754832
319263,"Pcmtd1",7.87580937388246,7.7062767584445,7.58155508920727,7.60035297700684,7.76065847687229
319266,"A130010J15Rik",8.15658875278909,8.35328469114307,8.58457500617122,8.24359054318406,7.93862395742128
319278,"Shfl",12.1078035008668,10.8837124479692,11.7324138968168,11.2995300125948,10.6960492541555
319293,"A530099J19Rik",7.3229984479608,6.92042729596312,7.10741325831374,7.0172259960447,7.00926878226567
319317,"Snhg11",7.62595992319974,7.27626983091227,7.39253209356866,8.12421826388331,7.34706765716587
319322,"Sf3b2",12.3035863450488,12.6160088807468,12.5105617536907,12.1414426102789,12.3162302585849
319352,"Pianp",6.99516649167965,7.21380291280993,7.21553299974566,7.29479303498632,7.12728504721522
319387,"Adgrl3",7.04189866840668,7.0661564787692,7.33647866520491,7.30292446461795,7.45249865769279
319430,"C5ar2",7.79749941617991,7.25201489049535,7.7305975031076,7.40311857023439,7.55372527841731
319446,"Dpep2",11.4894473119889,9.418874763195,10.4319450528581,10.8070424219014,11.3757860795763
319448,"Fndc3a",7.22273453779599,7.24943941517724,7.47725232393795,7.32361776329158,7.46370316646387
319455,"Pld5",7.39874369193819,7.14593214582052,7.85980652788483,7.55849246355875,7.19364855720859
319468,"Ppm1h",7.06948333369716,7.59304091158941,7.44576497643218,7.10885111704015,7.12870324620787
319475,"Zfp672",10.9822159742238,10.3682881855347,10.4615433951171,10.7160558009804,10.0338875351161
319476,"Lrtm1",7.36129881657127,7.22427347426108,7.23429015959615,7.34421311466463,7.10345775813543
319477,"6030419C18Rik",8.26845427803204,6.97946092284948,7.73449794169257,7.61187780142327,7.30970371103028
319478,"Cxxc4",7.23977751256812,7.79936257856809,7.54793078355854,7.37221210918907,7.46464784828104
319480,"Itga11",8.57418931080382,8.85329563244547,7.82588229202038,8.84725618220011,8.59598742539454
319481,"Wdr59",7.92277020927466,8.15171424374635,8.09706096459125,8.00727260233217,7.79392838702771
319504,"Nrcam",6.87098112422465,7.18115225686557,7.33739890252674,7.09888744227829,7.24988379079013
319508,"Syt15",7.34856219050128,7.18183554229522,7.08354580944244,7.30292446461795,7.13769563121477
319513,"Pced1a",8.13312522124886,8.32880055268755,8.25049873951461,8.07105515381614,7.78345499062094
319518,"Pdpr",7.15879900585019,7.23619362042353,6.84541164147449,7.23355976293088,7.2416257078027
319520,"Dusp4",7.90795150920823,9.15047608638482,7.82225034972753,8.10545438829222,8.46167153778039
319530,"Zfp750",8.33077685821439,8.20620547633731,9.58930587885898,8.57042498084675,7.61696229584659
319535,"Zfp182",7.33242822774375,6.97692206785108,7.59320435406329,7.30583375751525,7.36410728951633
319554,"Idi1",8.31431416533715,8.78979852228507,7.82001936342826,7.62598274649994,7.593157658103
319562,"9630028B13Rik",7.66941659209916,7.69381361776131,7.61282243349561,7.79498438412064,7.72717594754043
319581,"Xkr5",7.53877093772463,7.26997404281667,7.16320937931124,7.34618127665054,7.42017077489094
319582,"Trmt9b",7.5275747463159,7.63719089406856,7.11146173985772,7.03066713624694,7.05582470013486
319583,"Lig4",7.46260451525638,7.68492390686141,7.45671376057552,7.25254717391164,7.24073171543264
319601,"Zfp653",8.00597535650038,7.80566327241189,8.36850646150769,8.2732710993855,8.37030597930188
319604,"Fam168a",8.60303514540631,8.19016419452914,8.59378792607688,7.92410731055906,8.28250930624084
319613,"Sybu",7.20105894478255,7.14149832420396,7.39478245533275,7.18127901038537,7.14025753490626
319618,"Dcp1b",8.92718399754149,8.08582533738354,9.24460021469532,8.80084085926521,8.6414342723855
319625,"Galm",7.89829906237331,7.70091649167894,8.08487480869896,7.8639926371708,7.4189067312579
319638,"Nt5dc1",8.42235390712084,7.77245891869135,8.09295529970608,8.26693291060736,8.05443473876084
319651,"Usp37",7.42705089315088,7.75394794169985,7.09017859681808,7.18109012395826,7.24857990068003
319655,"Podxl2",7.19297084509356,7.35963976200112,7.41341637465164,7.58350592106454,7.46209322948681
319670,"Eml5",7.36057278148069,7.30628958533607,7.26047854480393,7.2875681028314,7.07988473625027
319710,"Frmd6",9.39732701813881,8.41803705836904,8.19789241411833,9.16082472634478,11.2627115009369
