"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2829250",-0.0796744142584513,6.79352443412956,-0.37593303954962,0.716656849201198,0.916453571108019,-7.20773129554008
"ILMN_2733594",-0.0630986744173612,7.07195512806346,-0.375767061428955,0.716775533472501,0.916553322625932,-7.20779987996807
"ILMN_1217262",-0.0870627128252872,7.78210548048193,-0.375315292663847,0.717098616534799,0.916914416272945,-7.20798640888103
"ILMN_1257938",-0.342854243524227,12.1506440336728,-0.37460795440234,0.717604592011697,0.917509310101892,-7.20827802362404
"ILMN_2947369",-0.0834588767105835,8.50923503613438,-0.374389290027382,0.717761037699536,0.91754969763691,-7.20836806501775
"ILMN_2636403",0.119884417537186,8.0580646429549,0.374155753678957,0.717928139320075,0.91754969763691,-7.20846417430956
"ILMN_1246756",-0.242265397117446,7.51170067089942,-0.374042009552806,0.718009532183815,0.91754969763691,-7.20851096346902
"ILMN_1229553",0.100190021723031,7.04614037608928,0.374016046949236,0.718028111003917,0.91754969763691,-7.20852164137724
"ILMN_2732998",0.254607212667144,7.65241923293346,0.374010628530869,0.718031988445271,0.91754969763691,-7.20852386977586
"ILMN_1246790",-0.0860879447570646,7.3907940605445,-0.37399105743164,0.718045993672653,0.91754969763691,-7.20853191839826
"ILMN_2973206",0.0845218316155645,7.60745075117012,0.373970895864591,0.718060421561721,0.91754969763691,-7.20854020942543
"ILMN_2522495",-0.380090395540574,7.95715319935477,-0.373960988657927,0.718067511336353,0.91754969763691,-7.20854428340095
"ILMN_2639714",0.0851794648579718,7.84998311626349,0.373942517066185,0.718080730015917,0.91754969763691,-7.2085518788875
"ILMN_1212649",0.0594584509135689,7.63045281962512,0.373937025496278,0.718084659924245,0.91754969763691,-7.20855413694166
"ILMN_2677391",-0.258179998284119,9.63728559187828,-0.373929011883279,0.718090394687319,0.91754969763691,-7.20855743196602
"ILMN_3127335",0.0980207773205111,7.09533778175172,0.373646408530342,0.718292645599456,0.91754969763691,-7.20867358874235
"ILMN_1230743",-0.0690504479561156,6.71565360529396,-0.37361764108592,0.718313234937231,0.91754969763691,-7.20868540809753
"ILMN_3161197",-0.204212696880065,7.20730893618385,-0.373615177363003,0.718314998276009,0.91754969763691,-7.2086864202987
