Name,Gene
mSE_10232,Tmem220
mSE_10233,BC096441
mSE_10234,Scpep1
mSE_10235,Gna13
mSE_10236,Uso1
mSE_10237,Klhdc8a
mSE_10238,Nynrin
mSE_10239,Gabbr1
mSE_10240,Spred2
mSE_10241,Elovl6
mSE_10242,Lama5
mSE_10243,Mrpl33
mSE_10244,Zer1
mSE_10245,Nxn
mSE_10246,Acsbg2
mSE_10247,1700108F19Rik
mSE_10248,Jub
mSE_10249,Klf13
mSE_10250,Enc1
mSE_10251,Vangl1
mSE_10252,Gse1
mSE_10253,Irf2bp2
mSE_10254,Tcf15
mSE_10255,Fam100b
mSE_10256,Spry4
mSE_10257,Fis1
mSE_10258,Rara
mSE_10259,Pvt1
mSE_10260,Capns1
mSE_10261,1700094C09Rik
mSE_10262,Ndufa13
mSE_10263,Ltbp4
mSE_10264,Llgl2
mSE_10265,Mir290
mSE_10266,Eea1
mSE_10267,Pitpnc1
mSE_10268,Sall4
mSE_10269,Rfc5
mSE_10270,Slc20a1
mSE_10271,Ergic1
mSE_10272,Slc25a19
mSE_10273,Trim28
mSE_10274,Abcc4
mSE_10275,Epb4.1l1
mSE_10276,Utf1
mSE_10277,F2rl1
mSE_10278,Ubtf
mSE_10279,Zfp568
mSE_10280,Arhgap23
mSE_10281,Sfn
mSE_10282,Sgk1
mSE_10283,Ankrd35
mSE_10284,Msi2
mSE_10285,Smad7
mSE_10286,Nodal
mSE_10287,Ifitm1
mSE_10288,Kirrel
mSE_10289,Katnal2
mSE_10290,Hs6st1
mSE_10291,Ptbp1
mSE_10292,Usp48
mSE_10293,Reep3
mSE_10294,Eif2s2
mSE_10295,Scd2
mSE_10296,Etl4
mSE_10297,Ppm1a
mSE_10298,Fanci
mSE_10299,Ttc39b
mSE_10300,Ski
mSE_10301,Sox2
mSE_10302,Dennd2c
mSE_10303,Sirt4
mSE_10304,Ldb1
mSE_10305,Grtp1
mSE_10306,Pcbp1
mSE_10307,Trim61
mSE_10308,Avpi1
mSE_10309,Rps11
mSE_10310,Poglut1
mSE_10311,Etl4
mSE_10312,Nedd4
mSE_10313,Mir135b
mSE_10314,Gtf2i
mSE_10315,Zfp462
mSE_10316,Mycn
mSE_10317,Fbxo22
mSE_10318,Zfp280b
mSE_10319,Msi2
mSE_10320,Limk2
